Comment,Designator,Footprint,LCSC Part #
EURORACK_PCB12HP,"U$1",EURORACK12HPPCB,
MRA4004T3G,"D1, D2",DO-214AC,
10uF,"C11, C12",CASE-A_3216,
PJ-341,"U$2, U$4, U$13, U$3, U$5, U$6, U$17, U$12, U$14, U$15, U$16, U$18, U$19, U$9, U$20, U$25, U$26, U$27, U$28, U$30",3.5MM-JACK-SWITCH-13MM-NOHOLES,
100K 0.1%,"R1, R4, R5, R11, R12, R6, R7, R8, R9, R15, R16, R50, R52, R53, R55, R56, R58, R59, R60, R61, R64, R65",R0603,
100K,"R3, R22, R23, R51, R71, R72, R149, R147",R0603,
56,"R10, R13, R14, R17, R54, R62, R63, R66",R0603,
49.9K,"R2, R57",R0603,
1.2K,"R68, R40",R0603,
10k,"R148",R0603,
30k,"R79, R81, R83, R84, R88, R95",R0603,
100,"R80, R82",R0603,
100k,"R85, R86, R91, R93, R34, R35, R37, R36",R0603,
7.5k,"R87",R0603,
500,"R89, R92, R94, R96",R0603,
51k,"R24, R25, R26, R27, R28, R29, R30, R31, R32, R33",R0603,
10KB,"U$8, U$7, U$29, U$31",ALPS_POT_SQUAREHOLES,
3mm YELLOW,"D_1NEG, D_1POS, D_2NEG, D_2POS",3MMLED,
22pf,"C7, C8, C9, C10, C13, C29, C30, C31, C32, C33",C0603,
100nF,"C49, C23, C24, C37, C38, C1, C2, C3, C4",C0603,
100n,"C5, C6, C21, C22, C16, C17",C0603,
33p,"C25, C26, C15, C18",C0603,
100p,"C27, C28",C0603,
560p,"C35, C36, C39, C40",C0603,
POWERSHROUDED,"J1",POWER_16_SHROUDED,
LM4040DIM3-5.0,"U2",SOT95P237X112-3N,
TL074TSSOP14,"IC4, IC11, IC2, IC3, IC1",TSSOP14,
V2164,"U$32",SO16,
TL072TSSOP8,"IC5",TSSOP8,
