Comment,Designator,Footprint,LCSC Part #
CGRM4001-G,"D1, D10, D11, D12, D13, D14, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9, D15, D16",SOD-123_MINI-SMA,
1,"SW46",MX1A-XXNW,
2,"SW47",MX1A-XXNW,
3,"SW48",MX1A-XXNW,
4,"SW49",MX1A-XXNW,
5,"SW51",MX1A-XXNW,
6,"SW52",MX1A-XXNW,
7,"SW53",MX1A-XXNW,
8,"SW54",MX1A-XXNW,
9,"SW55",MX1A-XXNW,
10,"SW56",MX1A-XXNW,
13,"SW58",MX1A-XXNW,
14,"SW59",MX1A-XXNW,
16,"SW60",MX1A-XXNW,
15,"SW83",MX1A-XXNW,
12,"SW88",MX1A-XXNW,
11,"SW90",MX1A-XXNW,
A,"SW1",MX1A-XXNW,
B,"SW2",MX1A-XXNW,
WS2812B3535,"LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED1, LED2",LED3535,
ATMEGA32U4-MU,"U1",QFN44,
USB-B,"JP1",USB-B-PTH,
22,"R7, R8",R0603,
10k,"R9",R0603,
1M,"R10",R0603,
100n,"C13, C1, C2, C3, C4",C0603,
1u,"C14",C0603,
22p,"C15, C16",C0603,
AVRISP-6,"ISP1",AVRISP,
RESONATOR,"U$60",16MHZXTAL,
,"JP2, JP3",2X3-SHROUDED,
