Designator,Mid X,Mid Y,Layer,Rotation
D1,3.175mm,120.65mm,T,270
D10,41.275mm,82.55mm,T,270
D11,60.325mm,82.55mm,T,270
D12,3.175mm,63.5mm,T,270
D13,22.225mm,63.5mm,T,270
D14,41.275mm,63.5mm,T,270
D19,60.325mm,63.5mm,T,270
D2,22.225mm,120.65mm,T,270
D20,60.325mm,101.6mm,T,270
D3,41.275mm,120.65mm,T,270
D4,60.325mm,120.65mm,T,270
D5,3.175mm,101.6mm,T,270
D6,22.225mm,101.6mm,T,270
D7,41.275mm,101.6mm,T,270
D8,3.175mm,82.55mm,T,270
D9,22.225mm,82.55mm,T,270
D15,85.725mm,82.55mm,T,270
D16,85.725mm,63.5mm,T,270
SW46,12.7mm,120.65mm,T,0
SW47,31.75mm,120.65mm,T,0
SW48,50.8mm,120.65mm,T,0
SW49,69.85mm,120.65mm,T,0
SW51,12.7mm,101.6mm,T,0
SW52,31.75mm,101.6mm,T,0
SW53,50.8mm,101.6mm,T,0
SW54,69.85mm,101.6mm,T,0
SW55,12.7mm,82.55mm,T,0
SW56,31.75mm,82.55mm,T,0
SW58,12.7mm,63.5mm,T,0
SW59,31.75mm,63.5mm,T,0
SW60,69.85mm,63.5mm,T,0
SW83,50.8mm,63.5mm,T,0
SW88,69.85mm,82.55mm,T,0
SW90,50.8mm,82.55mm,T,0
SW1,95.25mm,82.55mm,T,0
SW2,95.25mm,63.5mm,T,0
LED13,12.7mm,115.8875mm,T,180
LED14,31.75mm,115.8875mm,T,180
LED15,50.8mm,115.8875mm,T,180
LED16,69.85mm,115.8875mm,T,180
LED17,69.85mm,96.8375mm,T,0
LED18,50.8mm,96.8375mm,T,0
LED19,31.75mm,96.8375mm,T,0
LED20,12.7mm,96.8375mm,T,0
LED21,12.7mm,77.7875mm,T,180
LED22,31.75mm,77.7875mm,T,180
LED23,50.8mm,77.7875mm,T,180
LED24,69.85mm,77.7875mm,T,180
LED25,69.85mm,58.7375mm,T,0
LED26,50.8mm,58.7375mm,T,0
LED27,31.75mm,58.7375mm,T,0
LED28,12.7mm,58.7375mm,T,0
LED1,95.25mm,77.7875mm,T,0
LED2,95.25mm,58.7375mm,T,0
U1,91.821mm,104.521mm,T,270
JP1,95.25mm,123.825mm,T,270
R7,93.726mm,111.887mm,T,90
R8,92.202mm,111.887mm,T,90
R9,80.518mm,113.919mm,T,270
R10,85.852mm,104.775mm,T,90
C13,97.917mm,106.299mm,T,0
C1,89.535mm,98.425mm,T,90
C2,86.614mm,108.077mm,T,270
C3,97.79mm,102.235mm,T,180
C4,97.917mm,107.823mm,T,180
C14,90.678mm,111.887mm,T,90
C15,83.185mm,101.7905mm,T,180
C16,83.1215mm,107.6325mm,T,0
ISP1,85.471mm,114.046mm,T,270
U$60,83.185mm,104.775mm,T,90
JP2,106.68mm,101.6mm,T,180
JP3,106.68mm,116.84mm,T,180
