Designator,Mid X,Mid Y,Layer,Rotation
D1,9.525mm,19.05mm,B,180
D10,104.775mm,57.15mm,B,180
D11,123.825mm,57.15mm,B,180
D12,142.875mm,19.05mm,B,180
D13,152.4mm,38.1mm,B,180
D14,161.925mm,57.15mm,B,180
D15,180.975mm,19.05mm,B,180
D16,209.55mm,38.1mm,B,180
D17,200.025mm,57.15mm,B,180
D18,200.025mm,19.05mm,B,180
D19,161.925mm,19.05mm,B,180
D2,19.05mm,38.1mm,B,180
D20,95.25mm,38.1mm,B,180
D21,219.075mm,19.05mm,B,180
D22,238.125mm,57.15mm,B,180
D23,238.125mm,19.05mm,B,180
D24,228.6mm,38.1mm,B,180
D25,257.175mm,19.05mm,B,180
D26,285.75mm,38.1mm,B,180
D27,276.225mm,57.15mm,B,180
D28,276.225mm,19.05mm,B,180
D3,28.575mm,19.05mm,B,180
D4,38.1mm,38.1mm,B,180
D5,66.675mm,19.05mm,B,180
D6,76.2mm,38.1mm,B,180
D7,85.725mm,19.05mm,B,180
D8,104.775mm,19.05mm,B,180
D9,114.3mm,38.1mm,B,180
D29,47.625mm,19.05mm,B,180
D30,123.825mm,19.05mm,B,180
D31,219.075mm,57.15mm,B,180
D32,171.45mm,38.1mm,B,180
D33,85.725mm,57.15mm,B,180
D34,247.65mm,38.1mm,B,180
D35,295.275mm,57.15mm,B,180
D36,295.275mm,19.05mm,B,180
D37,314.325mm,19.05mm,B,180
D38,333.375mm,19.05mm,B,180
D39,304.8mm,38.1mm,B,180
D40,333.375mm,57.15mm,B,180
D41,352.425mm,19.05mm,B,180
D42,352.425mm,57.15mm,B,180
D43,371.475mm,19.05mm,B,180
D44,352.425mm,38.1mm,B,180
D45,371.475mm,57.15mm,B,180
U$1,60.325mm,47.625mm,B,0
LED1,9.525mm,31.75mm,T,180
LED2,60.325mm,31.75mm,T,180
LED3,60.325mm,50.8mm,T,180
LED4,146.05mm,50.8mm,T,180
LED5,136.525mm,31.75mm,T,180
LED6,184.15mm,50.8mm,T,180
LED7,193.675mm,31.75mm,T,180
LED8,260.35mm,50.8mm,T,180
LED9,269.875mm,31.75mm,T,180
LED10,317.5mm,50.8mm,T,180
LED11,331.7875mm,31.75mm,T,180
LED12,374.65mm,31.75mm,T,180
C1,9.525mm,31.75mm,B,180
C2,59.69mm,26.9875mm,B,180
C3,136.525mm,31.75mm,B,180
C4,193.675mm,31.75mm,B,180
C5,269.875mm,31.75mm,B,180
C6,331.7875mm,31.75mm,B,180
C7,374.65mm,31.75mm,B,180
C8,146.05mm,50.8mm,B,180
C9,260.35mm,50.8mm,B,180
C10,184.15mm,50.8mm,B,180
C11,317.5mm,50.8mm,B,180
C12,48.895mm,55.88mm,B,90
U$4,15.875mm,66.675mm,T,180
U$11,38.1mm,66.675mm,T,180
IC1,26.9875mm,44.45mm,B,270
R1,36.195mm,42.545mm,B,180
R2,15.875mm,42.8625mm,B,0
R3,42.8625mm,46.0375mm,B,270
R4,20.6375mm,46.0375mm,B,270
R5,33.9725mm,55.5625mm,B,270
R6,11.1125mm,56.1975mm,B,270
D46,15.875mm,46.0375mm,T,0
D47,38.1mm,46.0375mm,T,0
U$15,60.325mm,31.75mm,T,0
U$16,136.525mm,31.75mm,T,0
U$17,193.675mm,31.75mm,T,0
U$18,269.875mm,31.75mm,T,0
U$19,374.65mm,31.75mm,T,0
U$20,327.025mm,31.75mm,T,0
U$21,9.525mm,31.75mm,T,0
U$22,339.725mm,31.75mm,T,180
U$33,60.325mm,50.8mm,T,180
U$28,69.85mm,50.8mm,T,0
U$29,146.05mm,50.8mm,T,90
U$30,184.15mm,50.8mm,T,0
U$31,260.35mm,50.8mm,T,0
U$32,317.5mm,50.8mm,T,0
U$34,323.85mm,41.275mm,T,0
U$35,190.5mm,41.275mm,T,0
U$36,57.15mm,41.275mm,T,0
U$37,139.7mm,41.275mm,T,0
U$38,63.5mm,41.275mm,T,0
U$39,53.975mm,50.8mm,T,0
U$40,53.975mm,44.45mm,T,0
U$41,53.975mm,57.15mm,T,0
U$42,266.7mm,41.275mm,T,0
U$43,342.9mm,28.575mm,T,0
U$44,342.9mm,34.925mm,T,0
SW46,12.7mm,12.7mm,T,0
SW47,22.225mm,31.75mm,T,0
SW48,31.75mm,12.7mm,T,0
SW49,41.275mm,31.75mm,T,0
SW50,50.8mm,12.7mm,T,0
SW51,69.85mm,12.7mm,T,0
SW52,79.375mm,31.75mm,T,0
SW53,88.9mm,12.7mm,T,0
SW54,98.425mm,31.75mm,T,0
SW55,107.95mm,12.7mm,T,0
SW56,117.475mm,31.75mm,T,0
SW57,127mm,12.7mm,T,0
SW58,146.05mm,12.7mm,T,0
SW59,155.575mm,31.75mm,T,0
SW60,165.1mm,12.7mm,T,0
SW61,174.625mm,31.75mm,T,0
SW62,184.15mm,12.7mm,T,0
SW63,203.2mm,12.7mm,T,0
SW64,212.725mm,31.75mm,T,0
SW65,222.25mm,12.7mm,T,0
SW66,231.775mm,31.75mm,T,0
SW67,241.3mm,12.7mm,T,0
SW68,250.825mm,31.75mm,T,0
SW69,260.35mm,12.7mm,T,0
SW70,279.4mm,12.7mm,T,0
SW71,288.925mm,31.75mm,T,0
SW72,298.45mm,12.7mm,T,0
SW73,307.975mm,31.75mm,T,0
SW74,317.5mm,12.7mm,T,0
SW75,374.65mm,12.7mm,T,0
SW76,355.6mm,31.75mm,T,0
SW77,355.6mm,12.7mm,T,0
SW78,241.3mm,50.8mm,T,0
SW79,279.4mm,50.8mm,T,0
SW80,336.55mm,12.7mm,T,0
SW81,203.2mm,50.8mm,T,0
SW82,222.25mm,50.8mm,T,0
SW83,165.1mm,50.8mm,T,0
SW84,336.55mm,50.8mm,T,0
SW85,298.45mm,50.8mm,T,0
SW86,355.6mm,50.8mm,T,0
SW87,374.65mm,50.8mm,T,0
SW88,127mm,50.8mm,T,0
SW89,88.9mm,50.8mm,T,0
SW90,107.95mm,50.8mm,T,0
