Designator,Mid X,Mid Y,Layer,Rotation
D1,22.225mm,12.7mm,T,90
D10,98.425mm,50.8mm,T,90
D11,117.475mm,50.8mm,T,90
D12,155.575mm,12.7mm,T,90
D13,146.05mm,31.75mm,T,90
D14,155.575mm,50.8mm,T,90
D15,193.675mm,12.7mm,T,90
D16,203.2mm,31.75mm,T,90
D17,193.675mm,50.8mm,T,90
D18,212.725mm,12.7mm,T,90
D19,174.625mm,12.7mm,T,90
D2,31.75mm,31.75mm,T,270
D20,107.95mm,31.75mm,T,90
D21,231.775mm,12.7mm,T,90
D22,231.775mm,50.8mm,T,90
D23,250.825mm,12.7mm,T,90
D24,222.25mm,31.75mm,T,90
D25,269.875mm,12.7mm,T,90
D26,279.4mm,31.75mm,T,90
D27,269.875mm,50.8mm,T,270
D28,269.875mm,19.05mm,T,90
D3,41.275mm,12.7mm,T,90
D4,41.275mm,41.275mm,T,0
D5,79.375mm,12.7mm,T,90
D6,88.9mm,31.75mm,T,90
D7,98.425mm,12.7mm,T,90
D8,117.475mm,12.7mm,T,90
D9,127mm,31.75mm,T,90
D29,60.325mm,12.7mm,T,90
D30,136.525mm,12.7mm,T,90
D31,212.725mm,50.8mm,T,90
D32,165.1mm,31.75mm,T,90
D33,83.185mm,41.275mm,T,180
D34,241.3mm,31.75mm,T,90
D35,288.925mm,50.8mm,T,90
D36,288.925mm,12.7mm,T,90
D37,307.975mm,12.7mm,T,90
D38,327.025mm,12.7mm,T,90
D39,298.45mm,31.75mm,T,90
D40,327.025mm,50.8mm,T,90
D41,346.075mm,12.7mm,T,90
D42,346.075mm,50.8mm,T,90
D43,365.125mm,12.7mm,T,90
D44,346.075mm,31.75mm,T,90
D45,365.125mm,50.8mm,T,90
LED1,9.525mm,31.75mm,T,180
LED2,60.325mm,31.75mm,T,180
LED3,60.325mm,50.8mm,T,180
LED4,146.05mm,50.8mm,T,180
LED5,136.525mm,31.75mm,T,180
LED6,184.15mm,50.8mm,T,180
LED7,193.675mm,31.75mm,T,180
LED8,260.35mm,50.8mm,T,180
LED9,269.875mm,31.75mm,T,180
LED10,317.5mm,50.8mm,T,180
LED11,331.7875mm,31.75mm,T,180
LED12,374.65mm,31.75mm,T,180
C1,9.525mm,35.56mm,T,0
C2,60.325mm,35.8775mm,T,0
C3,136.525mm,35.56mm,T,0
C4,193.675mm,35.56mm,T,0
C5,269.875mm,35.56mm,T,0
C6,331.7875mm,35.56mm,T,0
C7,374.65mm,35.56mm,T,0
C8,146.05mm,54.61mm,T,0
C9,260.35mm,54.61mm,T,0
C10,184.15mm,54.61mm,T,0
C11,317.5mm,54.61mm,T,0
C12,46.99mm,47.625mm,T,90
C13,74.295mm,60.96mm,T,90
C14,65.151mm,50.673mm,T,270
C15,78.74mm,45.085mm,T,270
C16,72.39mm,43.18mm,T,270
U$4,15.875mm,66.675mm,T,180
U$11,38.1mm,66.675mm,T,180
IC1,26.9875mm,44.45mm,T,90
R1,35.56mm,42.545mm,T,0
R2,15.875mm,42.545mm,T,180
