Comment,Designator,Footprint,LCSC Part #
100n,"C2, C5, C7, C8, C11, C14, C16",C0603,
33p,"C12, C1",C0603,
1000u,"C3",153CLV-1010,
10u,"C4",CASE-A_3216,
,"C13, C15",CASE-A_3216,
JACK,"J1, J2, J3, J4",3.5MM-JACK-SWITCH-13MM-NOHOLES,
POWERSHROUDED,"J5",POWER_16_SHROUDED,
M02PTH4,"JP1",1X02_XTRA_BIG,
EURORACK_PCB6HP,"PCB1",EURORACK6HPPCB,
10K A,"R1, R2, R3",ALPS_POT_SQUAREHOLES,
10k A,"R4",ALPS_POT_SQUAREHOLES,
10,"R6",R0603,
470K,"R7",R0603,
56,"R10",R0603,
100k,"R11, R14",R0603,
100K,"R8, R9, R12, R13",R0603,
LM386M-1100070P1,"U1",SOIC8,
BUBBLESDSA_1U,"U$1",BUBBLES,
BUBBLESINV,"U$8",BUBBLES_INV,
1u,"C6, C9, C10",PANASONIC_D,
,"D1, D2",SOD123,
SOLDERJUMPERNC,"SJ1",SJ_2S,
M02PTH,"JP2, JP3",1X02,
TL072,"IC2",SO08,
TINRS_ARTWORKTINYDATE,"U$13",JUSTATINYROCKET_DATECODE,
TINRS_ARTWORKLOGO,"U$14",TINRSLOGO,
