Designator,Mid X,Mid Y,Layer,Rotation
C2,-36.195mm,33.655mm,T,180
C5,-29.21mm,38.735mm,T,270
C7,-27.305mm,47.625mm,T,270
C8,-33.02mm,57.785mm,T,90
C11,-27.94mm,13.335mm,T,180
C14,-26.035mm,43.18mm,T,90
C16,-26.67mm,38.735mm,T,270
C12,-31.115mm,46.355mm,T,0
C1,-29.845mm,58.7375mm,T,180
C3,-35.56mm,27.305mm,T,180
C4,-31.75mm,38.735mm,T,90
C13,-24.13mm,45.72mm,T,90
C15,-24.765mm,38.735mm,T,90
J1,-17.78mm,101.6mm,T,0
J2,-20.32mm,7.62mm,T,180
J3,-27.94mm,101.6mm,T,0
J4,-38.1mm,101.6mm,T,0
J5,-17.78mm,45.72mm,B,90
JP1,-23.495mm,23.495mm,T,90
PCB1,-43.18mm,1.27mm,T,0
R1,-27.94mm,73.66mm,T,0
R2,-35.56mm,88.9mm,T,0
R3,-20.32mm,88.9mm,T,0
R4,-35.56mm,7.62mm,T,180
R6,-29.21mm,41.91mm,T,270
R7,-38.1mm,18.415mm,T,270
R10,-30.7975mm,43.815mm,T,270
R11,-32.385mm,43.815mm,T,270
R14,-27.305mm,51.435mm,T,270
R8,-20.955mm,64.135mm,T,270
R9,-27.305mm,63.5mm,T,0
R12,-32.385mm,61.9125mm,T,0
R13,-29.845mm,56.8325mm,T,0
U1,-36.195mm,38.1mm,T,270
U$1,-27.94mm,53.34mm,T,0
U$8,-27.94mm,38.1mm,T,0
C6,-38.735mm,74.93mm,T,90
C9,-37.465mm,66.04mm,T,180
C10,-17.78mm,74.93mm,T,90
D1,-22.225mm,45.72mm,T,270
D2,-22.225mm,38.735mm,T,270
SJ1,-36.83mm,101.6mm,B,0
JP2,-41.275mm,95.885mm,T,270
JP3,-19.05mm,15.24mm,T,0
IC2,-31.115mm,51.435mm,T,180
U$13,-40.64mm,59.3725mm,B,0
U$14,-27.94mm,93.345mm,B,0
