Designator,Mid X,Mid Y,Layer,Rotation
D1,15.875mm,15.875mm,T,270
D10,53.975mm,-28.575mm,T,270
D11,73.025mm,-28.575mm,T,270
D12,15.875mm,-47.625mm,T,270
D13,34.925mm,-47.625mm,T,270
D14,53.975mm,-47.625mm,T,270
D19,73.025mm,-47.625mm,T,270
D2,34.925mm,15.875mm,T,270
D20,73.025mm,-9.525mm,T,270
D3,53.975mm,15.875mm,T,270
D4,73.025mm,15.875mm,T,270
D5,15.875mm,-9.525mm,T,270
D6,34.925mm,-9.525mm,T,270
D7,53.975mm,-9.525mm,T,270
D8,15.875mm,-28.575mm,T,270
D9,34.925mm,-28.575mm,T,270
D15,15.875mm,-66.675mm,T,270
D16,34.925mm,-66.675mm,T,270
D37,15.875mm,-85.725mm,T,270
D38,34.925mm,-85.725mm,T,270
D39,53.975mm,-85.725mm,T,270
D40,15.875mm,-104.775mm,T,270
D41,34.925mm,-104.775mm,T,270
D42,53.975mm,-104.775mm,T,270
D43,73.025mm,-104.775mm,T,270
D44,15.875mm,-123.825mm,T,270
D45,34.925mm,-123.825mm,T,270
D46,53.975mm,-123.825mm,T,270
D47,73.025mm,-123.825mm,T,270
D48,73.025mm,-85.725mm,T,270
D49,15.875mm,-142.875mm,T,270
D50,34.925mm,-142.875mm,T,270
D51,53.975mm,-66.675mm,T,270
D52,73.025mm,-66.675mm,T,270
D53,53.975mm,-142.875mm,T,270
D54,73.025mm,-142.875mm,T,270
D17,92.075mm,15.875mm,T,270
D18,111.125mm,15.875mm,T,270
D21,130.175mm,15.875mm,T,270
D22,149.225mm,15.875mm,T,270
D23,92.075mm,-9.525mm,T,270
D24,111.125mm,-9.525mm,T,270
D25,130.175mm,-9.525mm,T,270
D26,92.3925mm,-28.575mm,T,270
D27,111.125mm,-28.575mm,T,270
D28,130.175mm,-28.575mm,T,270
D29,149.225mm,-28.575mm,T,270
D30,92.075mm,-47.625mm,T,270
D31,111.125mm,-47.625mm,T,270
D32,130.175mm,-47.625mm,T,270
D33,149.225mm,-47.625mm,T,270
D34,149.225mm,-9.525mm,T,270
D35,92.075mm,-66.675mm,T,270
D36,111.125mm,-66.675mm,T,270
D55,92.075mm,-85.725mm,T,270
D56,111.125mm,-85.725mm,T,270
D57,130.175mm,-85.725mm,T,270
D58,92.075mm,-104.775mm,T,270
D59,111.125mm,-104.775mm,T,270
D60,130.175mm,-104.775mm,T,270
