Comment,Designator,Footprint,LCSC Part #,combinedname,name
100n,"M0:C1, M0:C10, M0:C13, M0:C19, M0:C2, M0:C7, C1, C2, M1:C1, M1:C10, M1:C13, M1:C19, M1:C2, M1:C7, C8, C9, M2:C1, M2:C10, M2:C13, M2:C19, M2:C2, M2:C7, M3:C1, M3:C10, M3:C13, M3:C19, M3:C2, M3:C7, C14, C15, C20, C21, C25, C26, C29, C30, C36, C37",C0603,,C*_C0603_100n,C*
3.3n,"M0:C12, M0:C4, M0:C6, M0:C9, C6, C3, M1:C12, M1:C4, M1:C6, M1:C9, C4, C5, C7, C10, C11, C12, M2:C12, M2:C4, M2:C6, M2:C9, M3:C12, M3:C4, M3:C6, M3:C9, C13, C16, C17, C18, C19, C22, C23, C24, C31, C32",C0603,,C*_C0603_3.3n,C*
22p,"C34, C38",C0603,,C*_C0603_22p,C*
1u,"M0:C11, M0:C3, M0:C5, M0:C8, M1:C11, M1:C3, M1:C5, M1:C8, M2:C11, M2:C3, M2:C5, M2:C8, M3:C11, M3:C3, M3:C5, M3:C8",CASE-A_3216,,C-POLAR*_CASE-A_3216_1u,C-POLAR*
10u,"C27, C28",CASE-A_3216,,C-POLAR*_CASE-A_3216_10u,C-POLAR*
TL074TSSOP14,"M0:IC1, IC1, M1:IC1, IC2, M2:IC1, M3:IC1, IC3, IC4",TSSOP14,,TL074_TSSOP14_TL074TSSOP14,TL074
100,"M0:R1, M0:R10, M0:R12, M0:R3, M0:R4, M0:R5, M0:R8, M0:R9, R9, M1:R1, M1:R10, M1:R12, M1:R3, M1:R4, M1:R5, M1:R8, M1:R9, R15, R18, R31, M2:R1, M2:R10, M2:R12, M2:R3, M2:R4, M2:R5, M2:R8, M2:R9, M3:R1, M3:R10, M3:R12, M3:R3, M3:R4, M3:R5, M3:R8, M3:R9, R34, R47, R50, R63, R87",R0603,,R*_R0603_100,R*
100k,"M0:R11, M0:R2, M0:R6, M0:R7, R7, R1, R2, R3, R4, R5, R6, R8, R10, R11, R12, M1:R11, M1:R2, M1:R6, M1:R7, R13, R14, R16, R17, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R32, M2:R11, M2:R2, M2:R6, M2:R7, M3:R11, M3:R2, M3:R6, M3:R7, R33, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R48, R49, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R64, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R88",R0603,,R*_R0603_100k,R*
75k,"R65, R66",R0603,,R*_R0603_75k,R*
49.9k,"R67, R68",R0603,,R*_R0603_49.9k,R*
68,"R89",R0603,,R*_R0603_68,R*
150,"R90",R0603,,R*_R0603_150,R*
560,"R91, R92",R0603,,R*_R0603_560,R*
4.7k,"R93, R94, R102, R103",R0603,,R*_R0603_4.7k,R*
56k,"R95",R0603,,R*_R0603_56k,R*
220,"R96, R98, R99, R100",R0603,,R*_R0603_220,R*
27,"R97, R101",R0603,,R*_R0603_27,R*
SPU0410HR5H-PB,"M0:MIC1, M0:MIC0, M0:MIC2, M0:MIC3, M1:MIC0, M1:MIC1, M1:MIC2, M1:MIC3, M2:MIC0, M2:MIC1, M2:MIC2, M2:MIC3, M3:MIC0, M3:MIC1, M3:MIC2, M3:MIC3",SPU0410HR5H-PB,,SPU0410HR5H-PB_SPU0410HR5H-PB_SPU0410HR5H-PB,SPU0410HR5H-PB
JACK,"J19, J1, J2, J3, J4, J5, J6, J7, J8",3.5MM-JACK-SWITCH-13MM-NOHOLES,,AUDIO-JACK_SMALLSYMBOL_3.5MM-JACK-SWITCH-13MM-NOHOLES_JACK,AUDIO-JACK_SMALLSYMBOL
TOOMANYMICROPHONES,"U$29",TOOMANYMICROPHONES,,TOOMANYMICROPHONES_TOOMANYMICROPHONES_TOOMANYMICROPHONES,TOOMANYMICROPHONES
MOUNT-PAD-ROUND5.5,"H1, H2, H3, H4",5,5-PAD,,MOUNT-PAD-ROUND_5.5-PAD_MOUNT-PAD-ROUND5.5,MOUNT-PAD-ROUND
MOUNT-PAD-ROUND3.2,"H5, H6, H7, H8",3,2-PAD,,MOUNT-PAD-ROUND_3.2-PAD_MOUNT-PAD-ROUND3.2,MOUNT-PAD-ROUND
USB-B-FEMALE,"X1",FCI61729,,USB-B-FEMALE_FCI61729_USB-B-FEMALE,USB-B-FEMALE
FERRITE_1812,"L1",FERRITE_1812,,FERRITE_FERRITE_1812_FERRITE_1812,FERRITE
CJ1117-3.3-1310190P1,"U1",SOT223,,CJ1117-3.3_SOT223_CJ1117-3.3-1310190P1,CJ1117-3.3
TL072,"IC5",SO08,,TL072_SO08_TL072,TL072
CINCONBRICK_12V,"U$42",CINCONBRICK,,CINCONBRICK_12V_CINCONBRICK_CINCONBRICK_12V,CINCONBRICK_12V
,"D1, D2, D3, D4",LED0603,,LED*_LED0603_,LED*
NE5532D,"IC6",SO08,,NE5532_SO08_NE5532D,NE5532
100u,"C33, C35",PANASONIC_D,,CPOL-US_PANASONIC_D_100u,CPOL-US
,"JP1",AUDIO-JACK-.25-INCH-HORIZ-PTH,,AUDIO-JACK4-.25-HORIZ-TRS_AUDIO-JACK-.25-INCH-HORIZ-PTH_,AUDIO-JACK4-.25-HORIZ-TRS
TINRS_ARTWORKTINYDATE,"U$51",JUSTATINYROCKET_DATECODE,,TINRS_ARTWORK_JUSTATINYROCKET_DATECODE_TINRS_ARTWORKTINYDATE,TINRS_ARTWORK
