Designator,Mid X mm,Mid Y mm,Layer,Rotation deg
M0:C1,13.84,17.18,T,90
M0:C10,37.67,38.86,T,90
M0:C13,-2.33,-0.76,T,90
M0:C19,-2.33,38.98,T,90
M0:C2,13.84,28.61,T,90
M0:C7,37.67,-1.14,T,90
C1,54.96,39.49,T,0
C2,66.39,39.49,T,0
M1:C1,83.17,19.55,T,-90
M1:C10,117.67,-1.27,T,90
M1:C13,77.54,-1.27,T,90
M1:C19,117.54,38.86,T,90
M1:C2,83.17,8.38,T,-90
M1:C7,77.54,38.73,T,90
C8,60.06,104.30,T,-90
C9,60.06,94.01,T,-90
M2:C1,17.41,101.82,T,-90
M2:C10,-2.46,118.60,T,90
M2:C13,37.67,78.86,T,90
M2:C19,37.54,118.60,T,90
M2:C2,17.41,91.15,T,-90
M2:C7,-2.46,78.60,T,90
M3:C1,100.71,99.14,T,0
M3:C10,77.54,78.73,T,90
M3:C13,77.67,118.73,T,90
M3:C19,117.67,118.73,T,90
M3:C2,111.12,99.14,T,0
M3:C7,117.67,78.73,T,90
C14,-0.13,102.62,T,-90
C15,-0.13,91.57,T,-90
C20,58.01,120.77,T,0
C21,68.49,120.78,T,0
C25,32.96,10.01,T,180
C26,39.04,13.19,T,90
C29,100.22,116.73,T,180
C30,108.97,124.33,T,0
C36,121.54,25.65,T,-90
C37,113.67,29.08,T,-90
M0:C12,16.38,27.97,T,180
M0:C4,11.30,17.81,T,0
M0:C6,11.30,27.97,T,0
M0:C9,16.38,17.81,T,180
C6,56.23,36.95,T,90
C3,55.81,41.94,T,90
M1:C12,80.63,9.27,T,0
M1:C4,85.71,18.79,T,180
M1:C6,85.71,9.27,T,180
M1:C9,80.50,18.79,T,0
C4,66.39,37.08,T,-90
C5,65.50,42.16,T,-90
C7,57.78,103.54,T,0
C10,62.35,103.54,T,0
C11,57.78,94.14,T,180
C12,62.35,94.14,T,180
M2:C12,15.12,91.53,T,0
M2:C4,19.69,101.44,T,180
M2:C6,19.69,91.53,T,180
M2:C9,15.12,101.44,T,0
M3:C12,110.36,96.86,T,90
M3:C4,100.96,101.43,T,-90
M3:C6,110.36,101.43,T,-90
M3:C9,100.96,96.86,T,90
C13,-2.41,101.85,T,0
C16,2.16,101.85,T,0
C17,-2.41,92.33,T,180
C18,2.29,93.09,T,180
C19,58.77,118.48,T,90
C22,58.77,123.06,T,90
C23,68.42,118.48,T,-90
C24,67.79,123.06,T,-90
C31,98.43,123.19,T,90
C32,108.61,121.68,T,-90
C34,117.60,21.34,T,0
C38,118.87,32.64,T,0
M0:C11,38.14,2.22,T,180
M0:C3,40.83,44.15,T,90
M0:C5,3.91,37.52,T,0
M0:C8,2.60,3.25,T,90
M1:C11,118.14,2.22,T,180
M1:C3,117.88,42.36,T,180
M1:C5,83.65,42.22,T,0
M1:C8,77.51,2.35,T,180
M2:C11,38.14,82.35,T,180
M2:C3,37.38,122.37,T,180
M2:C5,5.05,119.17,T,0
M2:C8,-2.62,82.48,T,180
M3:C11,117.76,82.22,T,180
M3:C3,117.88,122.25,T,180
M3:C5,82.59,118.02,T,-90
M3:C8,77.64,82.35,T,180
C27,40.74,13.78,T,90
C28,32.75,8.20,T,180
M0:IC1,13.84,22.89,T,0
IC1,60.67,39.49,T,90
M1:IC1,83.17,13.71,T,180
IC2,60.06,99.22,T,0
M2:IC1,17.41,96.36,T,180
M3:IC1,106.04,99.14,T,-90
IC3,-0.13,97.54,T,0
IC4,63.21,120.77,T,90
M0:R1,11.93,15.27,T,90
M0:R10,15.74,30.51,T,-90
M0:R12,18.28,30.51,T,90
