Designator,Mid X,Mid Y,Layer,Rotation
M0:C1,13.836mm,17.178mm,T,90
M0:C10,37.666mm,38.857mm,T,90
M0:C13,-2.334mm,-0.762mm,T,90
M0:C19,-2.334mm,38.984mm,T,90
M0:C2,13.836mm,28.608mm,T,90
M0:C7,37.666mm,-1.143mm,T,90
C1,54.958mm,39.49mm,T,0
C2,66.388mm,39.49mm,T,0
M1:C1,83.169mm,19.553mm,T,270
M1:C10,117.666mm,-1.27mm,T,90
M1:C13,77.539mm,-1.27mm,T,90
M1:C19,117.539mm,38.857mm,T,90
M1:C2,83.169mm,8.377mm,T,270
M1:C7,77.539mm,38.73mm,T,90
C8,60.064mm,104.3mm,T,270
C9,60.064mm,94.013mm,T,270
M2:C1,17.406mm,101.821mm,T,270
M2:C10,-2.461mm,118.603mm,T,90
M2:C13,37.666mm,78.857mm,T,90
M2:C19,37.539mm,118.603mm,T,90
M2:C2,17.406mm,91.153mm,T,270
M2:C7,-2.461mm,78.603mm,T,90
M3:C1,100.706mm,99.143mm,T,0
M3:C10,77.539mm,78.73mm,T,90
M3:C13,77.666mm,118.73mm,T,90
M3:C19,117.666mm,118.73mm,T,90
M3:C2,111.12mm,99.143mm,T,0
M3:C7,117.666mm,78.73mm,T,90
C14,-0.127mm,102.616mm,T,270
C15,-0.127mm,91.567mm,T,270
C20,58.006mm,120.77mm,T,0
C21,68.486mm,120.784mm,T,0
C25,32.963mm,10.014mm,T,180
C26,39.042mm,13.185mm,T,90
C29,100.217mm,116.727mm,T,180
C30,108.966mm,124.333mm,T,0
C36,121.539mm,25.654mm,T,270
C37,113.665mm,29.083mm,T,270
M0:C12,16.376mm,27.973mm,T,180
M0:C4,11.296mm,17.813mm,T,0
M0:C6,11.296mm,27.973mm,T,0
M0:C9,16.376mm,17.813mm,T,180
C6,56.228mm,36.95mm,T,90
C3,55.805mm,41.94mm,T,90
M1:C12,80.629mm,9.266mm,T,0
M1:C4,85.709mm,18.791mm,T,180
M1:C6,85.709mm,9.266mm,T,180
M1:C9,80.502mm,18.791mm,T,0
C4,66.388mm,37.077mm,T,270
C5,65.499mm,42.157mm,T,270
C7,57.778mm,103.538mm,T,0
C10,62.35mm,103.538mm,T,0
C11,57.778mm,94.14mm,T,180
C12,62.35mm,94.14mm,T,180
M2:C12,15.12mm,91.534mm,T,0
M2:C4,19.692mm,101.44mm,T,180
M2:C6,19.692mm,91.534mm,T,180
M2:C9,15.12mm,101.44mm,T,0
M3:C12,110.358mm,96.857mm,T,90
M3:C4,100.96mm,101.429mm,T,270
M3:C6,110.358mm,101.429mm,T,270
M3:C9,100.96mm,96.857mm,T,90
C13,-2.413mm,101.854mm,T,0
C16,2.159mm,101.854mm,T,0
C17,-2.413mm,92.329mm,T,180
C18,2.286mm,93.091mm,T,180
C19,58.768mm,118.484mm,T,90
C22,58.768mm,123.056mm,T,90
C23,68.42mm,118.484mm,T,270
C24,67.785mm,123.056mm,T,270
C31,98.425mm,123.19mm,T,90
C32,108.609mm,121.68mm,T,270
C34,117.602mm,21.336mm,T,0
C38,118.872mm,32.639mm,T,0
M0:C11,38.143mm,2.222mm,T,180
M0:C3,40.831mm,44.154mm,T,90
M0:C5,3.905mm,37.523mm,T,0
M0:C8,2.604mm,3.25mm,T,90
M1:C11,118.143mm,2.222mm,T,180
M1:C3,117.883mm,42.36mm,T,180
M1:C5,83.651mm,42.222mm,T,0
M1:C8,77.508mm,2.349mm,T,180
M2:C11,38.143mm,82.349mm,T,180
M2:C3,37.375mm,122.37mm,T,180
M2:C5,5.048mm,119.174mm,T,0
M2:C8,-2.619mm,82.476mm,T,180
M3:C11,117.762mm,82.222mm,T,180
M3:C3,117.883mm,122.253mm,T,180
M3:C5,82.588mm,118.015mm,T,270
M3:C8,77.635mm,82.349mm,T,180
C27,40.74mm,13.78mm,T,90
C28,32.749mm,8.203mm,T,180
M0:IC1,13.836mm,22.893mm,T,0
IC1,60.673mm,39.49mm,T,90
M1:IC1,83.169mm,13.711mm,T,180
IC2,60.064mm,99.22mm,T,0
M2:IC1,17.406mm,96.36mm,T,180
M3:IC1,106.04mm,99.143mm,T,270
IC3,-0.127mm,97.536mm,T,0
IC4,63.213mm,120.77mm,T,90
M0:R1,11.931mm,15.273mm,T,90
M0:R10,15.741mm,30.513mm,T,270
M0:R12,18.281mm,30.513mm,T,90
M0:R3,9.391mm,15.273mm,T,270
M0:R4,15.741mm,15.273mm,T,90
M0:R5,12.439mm,30.513mm,T,270
M0:R8,18.281mm,15.273mm,T,270
M0:R9,9.899mm,30.513mm,T,90
R9,53.688mm,36.315mm,T,180
M1:R1,84.693mm,21.204mm,T,270
M1:R10,81.899mm,6.726mm,T,90
M1:R12,79.359mm,6.726mm,T,270
M1:R3,87.233mm,21.204mm,T,90
M1:R4,81.645mm,21.077mm,T,270
M1:R5,84.439mm,6.853mm,T,90
M1:R8,79.105mm,21.077mm,T,90
M1:R9,86.979mm,6.853mm,T,270
R15,68.166mm,43.3mm,T,0
R18,57.016mm,105.824mm,T,90
R31,63.112mm,91.854mm,T,270
M2:R1,18.93mm,103.726mm,T,270
M2:R10,15.882mm,89.248mm,T,90
M2:R12,12.834mm,89.248mm,T,270
M2:R3,21.978mm,103.726mm,T,90
M2:R4,15.882mm,103.726mm,T,270
M2:R5,18.93mm,89.248mm,T,90
M2:R8,12.834mm,103.726mm,T,90
M2:R9,21.978mm,89.248mm,T,270
M3:R1,98.674mm,100.667mm,T,0
M3:R10,112.771mm,97.619mm,T,180
M3:R12,112.771mm,94.571mm,T,0
M3:R3,98.674mm,103.715mm,T,180
M3:R4,98.674mm,97.619mm,T,0
M3:R5,112.644mm,101.175mm,T,180
M3:R8,98.674mm,94.571mm,T,180
M3:R9,112.644mm,104.223mm,T,0
R34,-4.699mm,104.267mm,T,90
R47,4.572mm,90.805mm,T,270
R50,56.355mm,117.595mm,T,180
R63,70.198mm,123.818mm,T,0
R87,111.205mm,122.626mm,T,0
M0:R11,17.011mm,30.513mm,T,90
M0:R2,10.661mm,15.273mm,T,270
M0:R6,17.011mm,15.273mm,T,270
M0:R7,11.169mm,30.513mm,T,90
R7,53.688mm,37.585mm,T,180
R1,50.285mm,39.657mm,T,0
R2,50.285mm,38.387mm,T,0
R3,50.285mm,37.117mm,T,0
R4,50.285mm,35.847mm,T,0
R5,54.535mm,41.94mm,T,90
R6,52.357mm,42.128mm,T,270
R8,71.264mm,35.948mm,T,270
R10,72.55mm,35.948mm,T,270
R11,68.166mm,34.41mm,T,90
R12,69.436mm,34.41mm,T,90
M1:R11,80.629mm,6.726mm,T,270
M1:R2,85.963mm,21.204mm,T,90
M1:R6,80.375mm,21.077mm,T,90
M1:R7,85.709mm,6.853mm,T,270
R13,68.166mm,40.76mm,T,180
R14,68.674mm,37.966mm,T,0
R16,68.166mm,42.03mm,T,0
R17,58.54mm,105.824mm,T,90
R19,59.596mm,109.227mm,T,270
R20,58.326mm,109.227mm,T,270
R21,60.866mm,109.227mm,T,270
R22,57.056mm,109.227mm,T,270
R23,62.35mm,105.062mm,T,0
R24,60.953mm,106.84mm,T,180
R25,54.73mm,98.966mm,T,0
R26,54.73mm,95.918mm,T,0
R27,54.73mm,94.394mm,T,0
R28,54.73mm,97.442mm,T,0
R29,57.016mm,90.33mm,T,270
R30,57.778mm,92.616mm,T,180
R32,61.588mm,91.854mm,T,270
M2:R11,14.358mm,89.248mm,T,270
M2:R2,20.454mm,103.726mm,T,90
M2:R6,14.358mm,103.726mm,T,90
M2:R7,20.454mm,89.248mm,T,270
M3:R11,112.771mm,96.095mm,T,0
M3:R2,98.674mm,102.191mm,T,180
M3:R6,98.674mm,96.095mm,T,180
M3:R7,112.644mm,102.699mm,T,0
R33,-3.175mm,104.267mm,T,90
R35,2.159mm,107.061mm,T,180
R36,0.635mm,108.331mm,T,0
R37,2.159mm,109.601mm,T,180
R38,2.159mm,110.871mm,T,180
R39,2.159mm,103.378mm,T,0
R40,-1.651mm,104.267mm,T,270
R41,-2.54mm,88.011mm,T,90
R42,-3.81mm,88.011mm,T,90
R43,-5.08mm,88.011mm,T,90
R44,-1.27mm,88.011mm,T,90
R45,1.524mm,90.805mm,T,90
R46,-2.413mm,90.805mm,T,180
R48,3.048mm,90.805mm,T,270
R49,56.355mm,119.119mm,T,180
R51,49.624mm,120.516mm,T,90
R52,50.894mm,120.516mm,T,90
R53,52.164mm,120.516mm,T,90
R54,53.434mm,120.516mm,T,90
R55,57.117mm,123.056mm,T,90
R56,55.593mm,123.056mm,T,270
R57,65.88mm,115.182mm,T,90
R58,61.308mm,115.182mm,T,90
R59,64.356mm,115.182mm,T,90
R60,62.832mm,115.182mm,T,90
R61,71.468mm,119.627mm,T,90
R62,69.944mm,118.484mm,T,270
R64,70.198mm,122.294mm,T,0
R69,95.885mm,121.666mm,T,90
R70,93.345mm,121.666mm,T,90
R71,92.075mm,121.666mm,T,90
R72,90.805mm,121.666mm,T,90
R73,89.662mm,116.713mm,T,90
R74,94.615mm,121.666mm,T,90
R75,97.282mm,116.713mm,T,90
R76,90.932mm,116.713mm,T,90
R77,85.344mm,123.825mm,T,0
R78,88.392mm,116.713mm,T,90
R79,96.012mm,116.713mm,T,90
R80,94.742mm,116.713mm,T,90
R81,92.202mm,116.713mm,T,90
R82,89.535mm,121.666mm,T,90
R83,88.265mm,121.666mm,T,90
R84,93.472mm,116.713mm,T,90
R85,102.489mm,126.619mm,T,0
R86,97.155mm,123.19mm,T,90
R88,111.125mm,120.975mm,T,0
R65,65.786mm,8.382mm,T,180
R66,51.943mm,7.493mm,T,90
R67,51.943mm,4.318mm,T,90
R68,68.072mm,7.62mm,T,270
R89,47.181mm,-3.474mm,T,180
R90,43.66mm,-3.463mm,T,0
R91,35.233mm,-3.526mm,T,180
R92,30.235mm,-6.057mm,T,270
R93,121.539mm,29.21mm,T,90
R94,117.602mm,22.606mm,T,180
R102,116.967mm,34.417mm,T,180
R103,120.142mm,34.417mm,T,180
R95,113.03mm,2.667mm,T,270
R96,109.982mm,5.715mm,T,90
R98,108.458mm,5.715mm,T,90
R99,111.506mm,5.715mm,T,90
R100,113.03mm,5.715mm,T,90
R97,113.665mm,25.654mm,T,90
R101,115.697mm,32.639mm,T,180
M0:MIC1,40mm,39.304mm,B,0
M0:MIC0,0mm,39.304mm,B,0
M0:MIC2,0mm,-0.696mm,B,0
M0:MIC3,40mm,-0.696mm,B,0
M1:MIC0,80mm,39.304mm,B,0
M1:MIC1,120mm,39.304mm,B,0
M1:MIC2,80mm,-0.696mm,B,0
M1:MIC3,120mm,-0.696mm,B,0
M2:MIC0,0mm,119.304mm,B,0
M2:MIC1,40mm,119.304mm,B,0
M2:MIC2,0mm,79.304mm,B,0
M2:MIC3,40mm,79.304mm,B,0
M3:MIC0,80mm,119.304mm,B,0
M3:MIC1,120mm,119.304mm,B,0
M3:MIC2,80mm,79.304mm,B,0
M3:MIC3,120mm,79.304mm,B,0
J19,105mm,30mm,T,0
J1,105mm,50mm,T,0
J2,105mm,70mm,T,0
J3,105mm,90mm,T,0
J4,30mm,105mm,T,0
J5,50mm,105mm,T,0
J6,70mm,105mm,T,0
J7,90mm,105mm,T,0
J8,110mm,110mm,T,0
U$29,59.591mm,58.185mm,T,0
H1,30mm,90mm,T,0
H2,90mm,30mm,T,0
H3,30mm,30mm,T,0
H4,90mm,90mm,T,0
H5,-6mm,-6mm,T,0
H6,126mm,-6mm,T,0
H7,-6mm,126mm,T,0
H8,126mm,126mm,T,0
X1,60mm,1mm,T,0
L1,71mm,-1mm,T,90
U1,34.252mm,15.669mm,T,0
IC5,103.237mm,121.901mm,T,270
U$42,60mm,20mm,T,90
D1,48mm,-6mm,T,270
D2,43mm,-6mm,T,270
D3,38mm,-6mm,T,270
D4,33mm,-6mm,T,270
IC6,117.602mm,27.305mm,T,180
C33,110.915mm,19.608mm,T,0
C35,111.583mm,11.634mm,T,270
JP1,98mm,-10mm,T,90
U$51,126.238mm,117.475mm,T,0
