Designator,Footprint,Quantity,Value,LCSC Part #
D2,DO-214AC,1,C8678,
D1,DO-214AC,1,C8678,
C45,CP_Elec_6.3x3,1,100u,
C49,CP_Elec_6.3x3,1,100u,
C43,CP_Elec_6.3x3,1,100u,
C46,CP_Elec_6.3x3,1,100u,
C47,CP_Elec_6.3x3,1,100u,
C44,CP_Elec_6.3x3,1,100u,
C33,C_0603_1608Metric,1,2.2u,
C32,C_0603_1608Metric,1,10u,
C30,C_0603_1608Metric,1,2.2u,
C29,C_0603_1608Metric,1,10u,
C27,C_0603_1608Metric,1,2.2u,
C26,C_0603_1608Metric,1,10u,
C24,C_0603_1608Metric,1,2.2u,
C23,C_0603_1608Metric,1,10u,
C6,C_0402_1005Metric,1,100nF,
C53,C_0402_1005Metric,1,560p,
C52,C_0402_1005Metric,1,560p,
C51,C_0402_1005Metric,1,560p,
C50,C_0402_1005Metric,1,560p,
C42,C_0402_1005Metric,1,33p,
C41,C_0402_1005Metric,1,33p,
C40,C_0402_1005Metric,1,33p,
C39,C_0402_1005Metric,1,33p,
C38,C_0402_1005Metric,1,100n,
C37,C_0402_1005Metric,1,100n,
C36,C_0402_1005Metric,1,100n,
C35,C_0402_1005Metric,1,100n,
C34,C_0402_1005Metric,1,100n,
C31,C_0402_1005Metric,1,100n,
C28,C_0402_1005Metric,1,100n,
C25,C_0402_1005Metric,1,100n,
C22,C_0402_1005Metric,1,33p,
C21,C_0402_1005Metric,1,100n,
C20,C_0402_1005Metric,1,33p,
C19,C_0402_1005Metric,1,100n,
C18,C_0402_1005Metric,1,33p,
C17,C_0402_1005Metric,1,33p,
C16,C_0402_1005Metric,1,100n,
C15,C_0402_1005Metric,1,100n,
C14,C_0402_1005Metric,1,33p,
C13,C_0402_1005Metric,1,33p,
C12,C_0402_1005Metric,1,33p,
C11,C_0402_1005Metric,1,33p,
C10,C_0402_1005Metric,1,100n,
C9,C_0402_1005Metric,1,100n,
C8,C_0402_1005Metric,1,100n,
C7,C_0402_1005Metric,1,100n,
C4,C_0402_1005Metric,1,33p,
C3,C_0402_1005Metric,1,33p,
C2,C_0402_1005Metric,1,33p,
C1,C_0402_1005Metric,1,33p,
R27,R_0402_1005Metric,1,30k,
R134,R_0402_1005Metric,1,500,
R133,R_0402_1005Metric,1,500,
R132,R_0402_1005Metric,1,500,
R131,R_0402_1005Metric,1,500,
R92,R_0402_1005Metric,1,56,
R89,R_0402_1005Metric,1,56,
R86,R_0402_1005Metric,1,56,
