Designator,Mid X,Mid Y,Rotation,Layer
D2,155.0,-152.6,180.0,top
D1,146.7,-153.9,180.0,top
C45,132.7,-204.4,-90.0,top
C49,145.7,-193.7,0.0,top
C43,106.85,-191.4,180.0,top
C46,141.1,-182.2,90.0,top
C47,146.4,-202.323998,-90.0,top
C44,114.65,-211.375,-90.0,top
C33,113.8,-202.4,90.0,top
C32,113.5,-195.125,90.0,top
C30,120.1,-177.4,180.0,top
C29,119.225,-173.825,90.0,top
C27,120.025,-153.025,180.0,top
C26,110.5,-154.3,180.0,top
C24,120.2,-132.7,180.0,top
C23,119.55,-126.9,90.0,top
C6,158.4,-132.7,0.0,top
C53,144.625,-130.575,0.0,top
C52,146.525,-135.325,0.0,top
C51,134.5,-140.175,90.0,top
C50,135.7,-134.5,90.0,top
C42,105.15,-169.838,90.0,top
C41,112.25,-173.5,-90.0,top
C40,112.15,-130.2,-90.0,top
C39,105.05,-126.9,90.0,top
C38,108.05,-166.988,0.0,top
C37,107.988,-176.138,0.0,top
C36,130.2,-198.1,90.0,top
C35,120.7,-195.9,-90.0,top
C34,112.95,-205.0,180.0,top
C31,113.25,-181.15,90.0,top
C28,113.2,-158.8,90.0,top
C25,113.6,-133.95,-90.0,top
C22,143.4,-113.6,0.0,top
C21,141.0,-112.8,-90.0,top
C20,143.862,-123.0,0.0,top
C19,141.562,-123.8,90.0,top
C18,138.7,-113.6,180.0,top
C17,139.262,-123.0,180.0,top
C16,143.75,-142.65,180.0,top
C15,142.575,-130.6,0.0,top
C14,139.3,-168.2,180.0,top
C13,143.5,-168.2,0.0,top
C12,143.538,-160.8,0.0,top
C11,139.3,-160.8,180.0,top
C10,136.7,-167.6,90.0,top
C9,146.2,-165.4,90.0,top
C8,107.55,-133.15,0.0,top
C7,107.85,-123.95,0.0,top
C4,112.25,-169.7,90.0,top
C3,105.15,-173.4,-90.0,top
C2,105.05,-130.3,-90.0,top
C1,112.25,-126.438,90.0,top
R27,136.4,-136.4,-90.0,top
R134,146.05,-131.525,90.0,top
R133,146.6,-137.15,90.0,top
R132,135.5,-140.2,90.0,top
R131,136.2,-133.025,180.0,top
R92,112.25,-202.4,-90.0,top
R89,119.875,-151.55,0.0,top
R86,120.25,-134.3,0.0,top
R83,119.95,-176.025,0.0,top
R80,134.2,-175.2,180.0,top
R79,124.9,-180.6,90.0,top
R78,123.7,-184.8,90.0,top
R77,123.95,-188.6,180.0,top
R76,125.6,-191.15,-90.0,top
R74,134.2,-154.4,180.0,top
R73,124.9,-159.8,90.0,top
R72,123.75,-163.4,90.0,top
R71,124.0,-166.85,180.0,top
R70,125.7,-169.8,-90.0,top
R68,134.2,-133.7,180.0,top
R67,124.9,-139.1,90.0,top
R66,123.6,-142.3,90.0,top
R65,123.9,-145.8,180.0,top
R64,125.7,-148.8,-90.0,top
R62,134.2,-112.9,180.0,top
R61,124.9,-118.3,90.0,top
R60,123.7,-121.5,90.0,top
R59,124.05,-124.55,180.0,top
R58,125.7,-128.3,-90.0,top
R25,153.35,-192.35,180.0,top
R19,152.95,-173.825,90.0,top
R13,134.2,-151.2,-90.0,top
R7,159.35,-130.1,-90.0,top
R115,141.2,-201.8,0.0,top
R109,137.85,-188.8,-90.0,top
R101,129.5,-214.5,-90.0,top
R95,119.1,-196.3,90.0,top
R94,103.65,-169.838,-90.0,top
R91,113.725,-173.5,90.0,top
R88,113.85,-129.85,90.0,top
R85,103.45,-126.9,-90.0,top
R81,159.05,-117.088,90.0,top
R75,113.55,-197.7,90.0,top
R69,113.35,-177.4,90.0,top
R63,113.2,-155.2,90.0,top
R57,119.55,-130.1,90.0,top
R54,143.9,-124.6,180.0,top
R53,144.55,-117.05,90.0,top
R50,139.2,-124.6,0.0,top
R49,148.775,-129.325,-90.0,top
R47,137.9,-127.1,90.0,top
R45,141.1,-127.075,-90.0,top
R43,150.725,-129.325,-90.0,top
R41,139.5,-127.1,-90.0,top
R39,146.325,-129.325,-90.0,top
R37,142.7,-127.05,-90.0,top
R35,149.75,-129.325,-90.0,top
R33,136.225,-125.575,90.0,top
R32,145.925,-127.05,90.0,top
R31,145.8,-133.5,-90.0,top
R30,145.5,-136.775,90.0,top
R28,136.6,-139.7,90.0,top
R26,159.2,-139.8,90.0,top
R21,111.15,-167.025,0.0,top
R15,102.05,-173.4,-90.0,top
R9,101.85,-130.3,-90.0,top
R2,111.05,-123.9,0.0,top
R99,132.3,-210.7,0.0,top
R130,157.875,-185.3,0.0,top
R129,157.91,-186.935,0.0,top
R128,152.75,-170.6,180.0,top
R127,149.5,-170.675,0.0,top
R126,148.25,-136.625,-90.0,top
R125,155.625,-136.425,-90.0,top
R124,156.3,-122.525,90.0,top
R123,147.65,-122.025,90.0,top
R122,143.4,-188.2,-90.0,top
R121,146.05,-188.95,180.0,top
R120,137.1,-204.3,-90.0,top
R119,124.05,-200.35,180.0,top
R118,141.9,-204.3,-90.0,top
R117,141.85,-173.3,0.0,top
R116,141.85,-176.5,0.0,top
R114,127.25,-200.4,0.0,top
R113,140.3,-204.3,-90.0,top
R112,138.7,-204.3,-90.0,top
R111,141.75,-171.7,0.0,top
R110,141.85,-174.9,0.0,top
R108,134.9,-210.95,-90.0,top
R107,138.0,-201.7,180.0,top
R106,132.2,-215.5,0.0,top
R105,120.0,-198.7,180.0,top
R104,132.24,-213.9,0.0,top
R103,140.2,-195.6,-90.0,top
R102,137.0,-195.6,-90.0,top
R100,120.0,-200.3,0.0,top
R98,132.3,-212.3,0.0,top
R97,135.4,-195.6,-90.0,top
R96,138.6,-195.6,-90.0,top
R93,102.05,-169.838,90.0,top
R90,111.15,-176.225,0.0,top
R87,110.85,-133.275,0.0,top
R84,101.85,-126.9,90.0,top
R82,159.05,-120.35,90.0,top
R56,134.8,-115.7,180.0,top
R55,143.4,-112.0,180.0,top
R52,137.3,-116.1,90.0,top
R51,138.6,-112.0,0.0,top
R48,139.9,-169.9,0.0,top
R46,136.6,-170.1,180.0,top
R44,143.5,-169.9,180.0,top
R42,146.0,-169.0,90.0,top
R40,142.8,-158.4,-90.0,top
R38,144.4,-158.4,-90.0,top
R36,140.1,-158.4,-90.0,top
R34,138.5,-158.4,-90.0,top
R23,102.95,-167.288,0.0,top
R22,113.725,-169.7,-90.0,top
R17,104.25,-176.238,180.0,top
R16,103.65,-173.4,90.0,top
R11,104.05,-132.9,180.0,top
R10,103.45,-130.3,90.0,top
R5,102.65,-124.3,0.0,top
R3,113.725,-126.45,-90.0,top
R1,139.338,-130.286,0.0,top
R29,124.2,-209.7,180.0,top
R24,151.8,-182.5,0.0,top
R20,131.0,-185.9,0.0,top
R18,151.8,-161.2,0.0,top
R14,131.0,-164.6,0.0,top
R12,151.8,-139.8,180.0,top
R8,131.0,-143.2,180.0,top
R6,151.8,-118.5,0.0,top
R4,131.0,-121.9,0.0,top
OUTLINE1,99.95,-216.44325,0.0,top
JACK9,106.5,-211.6,0.0,top
JACK8,154.3,-211.6,0.0,top
JACK7,106.5,-199.4,180.0,top
JACK6,154.3,-199.4,0.0,top
JACK5,106.5,-182.3,180.0,top
JACK4,106.5,-161.0,0.0,top
JACK3,106.5,-139.6,180.0,top
JACK2,106.5,-118.3,0.0,top
JACK1,141.0,-211.6,0.0,top
J14,145.794969,-149.6,-170.0,bottom
C48,139.0,-154.6,180.0,top
C5,158.0,-148.1,-90.0,top
U10,125.6,-196.75,0.0,top
U11,108.7265,-171.5835,90.0,top
Q5,138.05,-176.35,180.0,top
D16,130.3,-111.7,180.0,top
D5,155.45,-129.05,0.0,top
U9,116.5,-185.0,-90.0,top
Q8,145.45,-172.9,0.0,top
D8,155.4,-172.4,90.0,top
D35,146.05,-186.25,90.0,top
D9,157.8,-172.4,-90.0,top
FID6,101.6,-205.0,0.0,top
Q2,136.65,-192.25,0.0,top
FID2,158.2,-165.6,0.0,top
D27,122.5,-191.6,180.0,top
U3,108.65,-128.6,-90.0,top
D19,121.8,-138.7,180.0,top
U4,141.4,-164.5,180.0,top
Q3,136.8,-198.9,180.0,top
U1,158.3,-135.7,90.0,top
D22,122.5,-170.3,180.0,top
D30,125.3,-177.4,180.0,top
U6,116.5,-112.84,-90.0,top
D7,144.75,-144.8,0.0,top
D29,121.8,-181.4,180.0,top
D28,120.7,-186.6,180.0,top
Q1,140.6,-189.0,0.0,top
D24,121.8,-160.1,180.0,top
D6,139.7,-145.6,0.0,top
D17,122.5,-148.9,180.0,top
D25,125.3,-156.1,180.0,top
D11,156.4,-190.7,-90.0,top
D26,130.3,-154.4,180.0,top
U5,141.0,-118.3,90.0,top
D3,139.8,-143.1,0.0,top
D4,159.05,-125.55,90.0,top
D10,158.75,-190.475,90.0,top
D32,132.7,-195.55,0.0,top
Q4,140.7375,-198.9,180.0,top
D12,122.5,-127.6,180.0,top
Q7,145.4625,-176.4,0.0,top
D31,130.3,-175.7,180.0,top
U2,141.138,-136.486,0.0,top
D20,125.3,-134.7,180.0,top
D15,125.3,-113.4,180.0,top
D13,120.7,-122.6,180.0,top
Q6,138.05,-172.85,180.0,top
D18,120.7,-143.9,180.0,top
D23,120.7,-165.3,180.0,top
U8,116.5,-160.64,-90.0,top
D34,134.3,-178.15,0.0,top
U7,116.5,-137.14,-90.0,top
D33,132.7,-198.2,0.0,top
FID1,158.4,-113.0,0.0,top
D14,121.8,-117.4,180.0,top
D21,130.3,-133.0,180.0,top
FID5,158.2,-165.6,180.0,bottom
FID3,158.4,-113.0,180.0,bottom
FID4,101.6,-205.0,180.0,bottom
J2,112.375,-150.825,90.0,bottom
J1,148.0,-208.975,180.0,bottom
