Comment,Designator,Footprint,LCSC Part #,combinedname,name
EURORACK_PCB12HP,"U$1",EURORACK12HPPCB,,EURORACK_PCB_EURORACK12HPPCB_EURORACK_PCB12HP,EURORACK_PCB
MRA4004T3G,"D1, D2",DO-214AC,,D*_DO-214AC_MRA4004T3G,D*
10uF,"C11, C12",CASE-A_3216,,C-POLAR*_CASE-A_3216_10uF,C-POLAR*
JACK,"U$2, U$4, U$13, U$3, U$5, U$6, U$17, U$12, U$14, U$15, U$16, U$18, U$19, U$9, U$20, U$25, U$26, U$27, U$28, U$30",3.5MM-JACK-SWITCH-13MM-NOHOLES,,AUDIO-JACK_SMALLSYMBOL_3.5MM-JACK-SWITCH-13MM-NOHOLES_JACK,AUDIO-JACK_SMALLSYMBOL
100K 0.1%,"R1, R4, R5, R11, R12, R6, R7, R8, R9, R15, R16, R50, R52, R53, R55, R56, R58, R59, R60, R61, R64, R65",R0603,,R*_R0603_100K_0.1%,R*
100K,"R3, R22, R23, R51, R71, R72, R149, R147",R0603,,R*_R0603_100K,R*
56,"R10, R13, R14, R17, R54, R62, R63, R66",R0603,,R*_R0603_56,R*
49.9K,"R2, R57",R0603,,R*_R0603_49.9K,R*
1.2K,"R68, R40",R0603,,R*_R0603_1.2K,R*
10k,"R148",R0603,,R*_R0603_10k,R*
30k,"R79, R81, R83, R84, R88, R95",R0603,,R*_R0603_30k,R*
100,"R80, R82",R0603,,R*_R0603_100,R*
100k,"R85, R86, R91, R93, R34, R35, R37, R36",R0603,,R*_R0603_100k,R*
7.5k,"R87",R0603,,R*_R0603_7.5k,R*
500,"R89, R92, R94, R96",R0603,,R*_R0603_500,R*
51k,"R24, R25, R26, R27, R28, R29, R30, R31, R32, R33",R0603,,R*_R0603_51k,R*
10KB,"U$8, U$7, U$29, U$31",ALPS_POT_SQUAREHOLES,,POT_ALPS_POT_SQUAREHOLES_10KB,POT
3mm YELLOW,"D_1NEG, D_1POS, D_2NEG, D_2POS",3MMLED,,LED*_3MMLED_3mm_YELLOW,LED*
22pf,"C7, C8, C9, C10, C13, C29, C30, C31, C32, C33",C0603,,C*_C0603_22pf,C*
100nF,"C49, C23, C24, C37, C38, C1, C2, C3, C4",C0603,,C*_C0603_100nF,C*
100n,"C5, C6, C21, C22, C16, C17",C0603,,C*_C0603_100n,C*
33p,"C25, C26, C15, C18",C0603,,C*_C0603_33p,C*
100p,"C27, C28",C0603,,C*_C0603_100p,C*
560p,"C35, C36, C39, C40",C0603,,C*_C0603_560p,C*
POWERSHROUDED,"J1",POWER_16_SHROUDED,,POWER_POWER_16_SHROUDED_POWERSHROUDED,POWER
LM4040DIM3-5.0,"U2",SOT95P237X112-3N,,LM4040DIM3-5.0_SOT95P237X112-3N_LM4040DIM3-5.0,LM4040DIM3-5.0
TL074D,"IC4, IC11, IC2, IC3, IC1",SO14,,TL074_SO14_TL074D,TL074
V2164,"U$32",SO16,,V2164_SO16_V2164,V2164
TL072,"IC5",SO08,,TL072_SO08_TL072,TL072
SS34,"D3",DO-214AC,,DIODE_DO-214AC_SS34,DIODE
