"Part";"Value";"Device";"Package";"Description";"DESC";"DESCRIPTION";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"VALUE";
"C1";"3.3nF";"C-0603";"C0603";"";"";"";"";"";"unknown";"";"";"";"";
"C2";"3.3nF C0G";"C-0603";"C0603";"";"";"";"";"";"unknown";"";"";"";"";
"C3";"3.3nF COG";"C-0603";"C0603";"";"";"";"";"";"unknown";"";"";"";"";
"C4";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C5";"10uF";"C-POLAR-A";"AVX-A";"";"";"";"AVX";"TAJB106K020RNJ";"197427";"";"";"";"";
"C6";"100nF";"C-0603";"C0603";"";"";"";"AVX";"06035C104KAT2A";"1301804";"";"";"";"";
"C7";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C8";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C9";"3.3nF";"C-0603";"C0603";"";"";"";"";"";"unknown";"";"";"";"";
"C10";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C11";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C12";"10uF";"C-POLAR-A";"AVX-A";"";"";"";"AVX";"TAJB106K020RNJ";"197427";"";"";"";"";
"C13";"10uF";"C-POLAR-A";"AVX-A";"";"";"";"AVX";"TAJB106K020RNJ";"197427";"";"";"";"";
"C14";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C15";"3.3nF";"C-0603";"C0603";"";"";"";"";"";"unknown";"";"";"";"";
"C16";"3.3nF";"C-0603";"C0603";"";"";"";"";"";"unknown";"";"";"";"";
"C17";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C18";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C19";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C20";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C21";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C22";"100nF";"C-0603";"C0603";"";"";"";"MULTICOMP";"MC0603F104Z160CT";"1759017";"";"";"";"";
"C23";"10uF";"C-POLAR-A";"AVX-A";"";"";"";"AVX";"TAJB106K020RNJ";"197427";"";"";"";"";
