Mouser,Place,Qty,Value,Device,Package,Parts,Description
755-SFR03EZPJ000,yes,1,0,R-0603,R0603,R67,
603-AC0603FR-071M5L,yes,2,1.5M,R-0603,R0603,"R23, R46",
603-AC0603FR-071K8L,yes,6,1.8k,R-0603,R0603,"R20, R49, R111, R113, R121, R122",
756-GWCR0603-100RFT5,yes,4,100,R-0603,R0603,"R13, R16, R84, R85",
603-AC0603FR-07100KL,yes,68,100k,R-0603,R0603,"R3, R4, R5, R7, R10, R12, R14, R15, R17, R25, R29, R30, R40, R43, R44, R50, R53, R56, R57, R58, R59, R61, R62, R69, R70, R71, R72, R75, R77, R80, R81, R82, R83, R88, R92, R93, R94, R103, R105, R106, R108, R109, R114, R115, R116, R117, R118, R119, R120, R123, R125, R135, R140, R143, R144, R146, R147, R149, R150, R152, R154, R155, R156, R157, R199, R200, R201, R_BIAS_HP",
,no,4,100k,TRIMPOT,TRIMPOT,"R191, R192, R193, R194",
667-ERJ-PB3B1003V,yes,2,100k 0.1%,R-0603,R0603,"R73, R79",
710-885012206095,yes,39,100nF,C-0603,C0603,"C1, C2, C4, C5, C7, C8, C9, C12, C13, C14, C19, C22, C24, C25, C28, C32, C38, C39, C40, C41, C42, C43, C44, C45, C47, C48, C49, C50, C51, C52, C57, C58, C61, C76, C77, C78, C79, C80, C81",
,no,24,10k,POTSQUAREHOLE_SMALLKNOB,ALPS_POT_SQUAREHOLES,"R1, R9, R26, R27, R42, R76, R89, R134, R136, R137, R141, R142, R158, R160, R161, R165, R178, R180, R181, R182, R183, R184, R185, R186",
603-AC0603FR-0710KL,yes,12,10k,R-0603,R0603,"R31, R38, R65, R66, R148, R163, R164, R167, R172, R177, R179, R197",
,no,2,10k,TRIMPOT,TRIMPOT,"R187, R190",
,no,8,10kA,POTSQUAREHOLE_SMALLKNOB,ALPS_POT_SQUAREHOLES,"R11, R24, R45, R60, R63, R74, R78, R87",
80-C0603X103K1RT500,yes,7,10nF,C-0603,C0603,"C3, C6, C18, C21, C56, C62, C63",
710-865230440002,yes,12,10u,CAPACITOR_POL-CASE_B,CASE_B,"C11, C20, C64, C67, C68, C69, C70, C71, C72, C73, C74, C75",Polarized capacitor in various packages
603-AC0603FR-0715KL,yes,1,15k,R-0603,R0603,R198,
603-AC0603FR-071ML,yes,6,1M,R-0603,R0603,"R18, R22, R48, R52, R55, R68",
603-AC0603FR-071KL,yes,1,1k,R-0603,R0603,R2,
750-CGRA4004-G,yes,2,1n4004,D-SMA,DO-214AC,"D2, D3",DIODE
80-C0603C102J5G,yes,5,1nF C0G,C-0603,C0603,"C10, C15, C16, C17, C23",
710-865230640005,yes,2,1uF,CAPACITOR_POL-CASE_B,CASE_B,"C29, C33",Polarized capacitor in various packages
,no,2,1x3pin header,M031X03_NO_SILK,1X03_NO_SILK,"JP1, JP5",Header 3
603-AC0603FR-07200KL,yes,3,200k,R-0603,R0603,"R28, R41, R153",
,no,2,20k,TRIMPOT,TRIMPOT,"R188, R189",
80-C0603C223J3R,yes,3,20nF,C-0603,C0603,"C55, C59, C60",
603-AC0603FR-07220KL,yes,5,220k,R-0603,R0603,"R95, R126, R139, R204, R206",
603-AC0603FR-0724KL,yes,4,24k,R-0603,R0603,"R34, R35, R169, R173",
,no,2,2x3pin header,M03X2NO_SILK,2X3-NS,"JP2, JP4","2x3 .1 header."""
81-GRM185C1H301JA01D,yes,8,300pF,C-0603,C0603,"C26, C27, C30, C31, C34, C35, C36, C37",
603-AC0603FR-0733KL,yes,2,33k,R-0603,R0603,"R203, R205",
80-C0603C330J5GAUTO,yes,2,33pF,C-0603,C0603,"C65, C66",
