Comment,Designator,Footprint,LCSC Part #,combinedname,name
LM3046,"U$2, U$1",SO14,,LM3046_SO14_LM3046,LM3046
,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14",SOT23-BEC,,*-NPN-_SOT23-BEC_,*-NPN-
MMBT3906LT1SMD,"Q9, Q1",SOT23-BEC,,MMBT3906*_SOT23-BEC_MMBT3906LT1SMD,MMBT3906*
LM13700MX,"IC3",SO16,,LM13700_SO16_LM13700MX,LM13700
1k,"R20, R23, R24, R25, R26, R27, R28, R43, R2, R5, R6, R7, R8, R9, R10, R51",R0603,,R*_R0603_1k,R*
2.2k,"R21, R29, R3, R11",R0603,,R*_R0603_2.2k,R*
100,"R22, R30, R4, R12",R0603,,R*_R0603_100,R*
470k,"R31, R13",R0603,,R*_R0603_470k,R*
10k,"R32, R33, R35, R14, R15, R17",R0603,,R*_R0603_10k,R*
33k,"R34, R16",R0603,,R*_R0603_33k,R*
100k,"R36, R37, 82K, R40, R41, R152, R143, R18, R19, R48, R49, R56, R57",R0603,,R*_R0603_100k,R*
150k,"R42, R50",R0603,,R*_R0603_150k,R*
4.7k,"R44, R52",R0603,,R*_R0603_4.7k,R*
82k,"R38",R0603,,R*_R0603_82k,R*
330k,"R39, R62",R0603,,R*_R0603_330k,R*
10u,"C8, C9, C10, C11, C12, C3, C4, C5, C6, C7",153CLV-0605,,CPOL-US_153CLV-0605_10u,CPOL-US
100n,"C13, C14, C15, C16, C17, C18, C1, C2, C19, C20, C21, C22, C23, C24",C0603,,C*_C0603_100n,C*
10kA,"R45, R46, R47, R53, R54, R55",ALPS_POT_SQUAREHOLES,,POT_ALPS_POT_SQUAREHOLES_10kA,POT
10kB,"R1, R58",ALPS_POT_SQUAREHOLES,,POT_ALPS_POT_SQUAREHOLES_10kB,POT
JACK,"J1, J2, J3, J5, J6, J7, J8, J9, J10, J11",3.5MM-JACK-SWITCH-13MM-NOHOLES,,AUDIO-JACK_SMALLSYMBOL_3.5MM-JACK-SWITCH-13MM-NOHOLES_JACK,AUDIO-JACK_SMALLSYMBOL
EURORACK_PCB12HP,"PCB1",EURORACK12HPPCB,,EURORACK_PCB_EURORACK12HPPCB_EURORACK_PCB12HP,EURORACK_PCB
,"D1, D2",DO-214AC,,D*_DO-214AC_,D*
POWERSHROUDED,"J4",POWER_16_SHROUDED,,POWER_POWER_16_SHROUDED_POWERSHROUDED,POWER
TL072,"IC11",SO08,,TL072_SO08_TL072,TL072
50k,"R61, R63",TRIMPOT,,TRIMPOT_TRIMPOT_50k,TRIMPOT
50k,"TM2, TM3",TC33X,,TRIMPOT_TC33X_50k,TRIMPOT
