Designator,Mid X mm,Mid Y mm,Layer,Rotation deg
U$2,23.50,21.59,T,0
U$1,26.67,65.41,T,0
T1,29.85,17.78,T,0
T2,29.85,25.40,T,0
T3,33.02,25.40,T,0
T4,36.20,25.40,T,0
T5,33.02,17.78,T,0
T6,36.20,17.78,T,0
T7,20.32,34.93,T,90
T8,33.02,70.49,T,0
T9,33.02,62.87,T,0
T10,36.20,62.87,T,0
T11,39.37,62.87,T,0
T12,36.20,70.49,T,0
T13,40.01,70.49,T,0
T14,39.62,35.31,T,90
Q9,22.23,27.31,T,-90
Q1,26.04,74.93,T,0
IC3,30.48,35.56,T,-90
R20,26.67,15.24,T,180
R23,31.12,14.61,T,180
R24,34.29,14.61,T,180
R25,37.47,14.61,T,0
R26,37.47,12.70,T,180
R27,40.01,16.51,T,180
R28,17.78,22.86,T,-90
R43,17.78,29.21,T,0
R2,29.85,59.69,T,180
R5,33.02,59.69,T,180
R6,36.20,59.69,T,180
R7,39.37,59.69,T,0
R8,23.50,59.69,T,90
R9,26.04,59.69,T,0
R10,20.96,65.41,T,-90
R51,22.86,73.66,T,180
R21,23.50,15.24,T,180
R29,40.64,22.23,T,180
R3,27.94,71.12,T,-90
R11,43.18,58.42,T,90
R22,20.32,15.24,T,0
R30,38.74,19.05,T,-90
R4,30.48,71.12,T,-90
R12,26.67,57.15,T,90
R31,27.31,42.55,T,180
R13,31.75,42.55,T,180
R32,24.77,31.12,T,180
R33,16.51,34.93,T,-90
R35,16.51,26.67,T,180
R14,36.20,31.12,T,0
R15,43.18,36.20,T,0
R17,25.40,71.12,T,90
R34,24.77,36.20,T,90
R16,43.18,34.93,T,0
R36,25.40,102.87,T,180
R37,25.40,104.14,T,180
82K,14.61,29.21,T,180
R40,17.78,30.48,T,0
R41,14.61,30.48,T,180
R152,30.48,57.15,T,0
R143,30.48,55.88,T,180
R18,34.93,102.87,T,0
R19,34.93,104.14,T,0
R48,22.86,71.12,T,180
R49,33.02,75.57,T,0
R56,30.48,44.45,T,180
R57,29.21,45.72,T,180
R42,17.15,32.39,T,0
R50,31.50,79.63,T,180
R44,25.40,27.94,T,90
R52,29.85,78.11,T,0
R38,33.02,76.84,T,0
R39,22.86,72.39,T,180
R62,14.61,33.02,T,90
C8,7.62,30.48,T,0
C9,5.08,38.74,T,90
C10,26.67,97.16,T,-90
C11,41.91,27.31,T,180
C12,12.07,38.74,T,90
C3,30.48,85.09,T,-90
C4,54.86,30.35,T,180
C5,34.29,97.16,T,-90
C6,38.74,55.25,T,180
C7,49.53,38.10,T,90
C13,29.85,21.59,T,90
C14,33.02,21.59,T,90
C15,34.93,21.59,T,90
C16,37.47,21.59,T,90
C17,36.20,33.66,T,180
C18,24.77,33.66,T,180
C1,29.59,12.07,T,180
C2,17.53,11.43,T,180
C19,32.39,66.68,T,-90
C20,34.29,66.68,T,-90
C21,38.10,66.68,T,-90
C22,40.64,66.68,T,-90
C23,26.67,52.71,T,90
C24,34.29,50.80,T,90
R45,20.32,45.72,T,0
R46,10.16,20.32,T,0
R47,12.70,64.77,T,0
R53,40.64,45.72,T,0
R54,50.80,20.32,T,0
R55,48.26,64.77,T,0
R1,20.32,83.82,T,0
R58,40.64,83.82,T,0
J1,7.62,48.26,T,0
J2,7.62,99.06,T,0
J3,10.16,5.72,T,0
J5,7.62,86.36,T,0
J6,17.78,99.06,T,0
J7,53.34,48.26,T,0
J8,53.34,99.06,T,0
J9,50.80,5.72,T,0
J10,53.34,86.36,T,0
J11,43.18,99.06,T,0
PCB1,0.00,0.00,T,0
D1,30.73,9.02,T,180
D2,20.19,9.14,T,0
J4,31.12,5.08,B,180
IC11,30.48,50.80,T,0
R61,7.62,74.93,B,0
R63,51.44,74.93,B,0
TM2,19.05,71.76,B,0
TM3,11.43,33.02,B,0
