Designator,Mid X,Mid Y,Layer,Rotation
U$2,23.495mm,21.59mm,T,0
U$1,26.67mm,65.405mm,T,0
T1,29.845mm,17.78mm,T,0
T2,29.845mm,25.4mm,T,0
T3,33.02mm,25.4mm,T,0
T4,36.195mm,25.4mm,T,0
T5,33.02mm,17.78mm,T,0
T6,36.195mm,17.78mm,T,0
T7,20.32mm,34.925mm,T,90
T8,33.02mm,70.485mm,T,0
T9,33.02mm,62.865mm,T,0
T10,36.195mm,62.865mm,T,0
T11,39.37mm,62.865mm,T,0
T12,36.195mm,70.485mm,T,0
T13,40.005mm,70.485mm,T,0
T14,39.624mm,35.306mm,T,90
Q9,22.225mm,27.305mm,T,270
Q1,26.035mm,74.93mm,T,0
IC3,30.48mm,35.56mm,T,270
R20,26.67mm,15.24mm,T,180
R23,31.115mm,14.605mm,T,180
R24,34.29mm,14.605mm,T,180
R25,37.465mm,14.605mm,T,0
R26,37.465mm,12.7mm,T,180
R27,40.005mm,16.51mm,T,180
R28,17.78mm,22.86mm,T,270
R43,17.78mm,29.21mm,T,0
R2,29.845mm,59.69mm,T,180
R5,33.02mm,59.69mm,T,180
R6,36.195mm,59.69mm,T,180
R7,39.37mm,59.69mm,T,0
R8,23.495mm,59.69mm,T,90
R9,26.035mm,59.69mm,T,0
R10,20.955mm,65.405mm,T,270
R51,22.86mm,73.66mm,T,180
R21,23.495mm,15.24mm,T,180
R29,40.64mm,22.225mm,T,180
R3,27.94mm,71.12mm,T,270
R11,43.18mm,58.42mm,T,90
R22,20.32mm,15.24mm,T,0
R30,38.735mm,19.05mm,T,270
R4,30.48mm,71.12mm,T,270
R12,26.67mm,57.15mm,T,90
R31,27.305mm,42.545mm,T,180
R13,31.75mm,42.545mm,T,180
R32,24.765mm,31.115mm,T,180
R33,16.51mm,34.925mm,T,270
R35,16.51mm,26.67mm,T,180
R14,36.195mm,31.115mm,T,0
R15,43.18mm,36.195mm,T,0
R17,25.4mm,71.12mm,T,90
R34,24.765mm,36.195mm,T,90
R16,43.18mm,34.925mm,T,0
R36,25.4mm,102.87mm,T,180
R37,25.4mm,104.14mm,T,180
82K,14.605mm,29.21mm,T,180
R40,17.78mm,30.48mm,T,0
R41,14.605mm,30.48mm,T,180
R152,30.48mm,57.15mm,T,0
R143,30.48mm,55.88mm,T,180
R18,34.925mm,102.87mm,T,0
R19,34.925mm,104.14mm,T,0
R48,22.86mm,71.12mm,T,180
R49,33.02mm,75.565mm,T,0
R56,30.48mm,44.45mm,T,180
R57,29.21mm,45.72mm,T,180
R42,17.145mm,32.385mm,T,0
R50,31.496mm,79.629mm,T,180
R44,25.4mm,27.94mm,T,90
R52,29.845mm,78.105mm,T,0
R38,33.02mm,76.835mm,T,0
R39,22.86mm,72.39mm,T,180
R62,14.605mm,33.02mm,T,90
C8,7.62mm,30.48mm,T,0
C9,5.08mm,38.735mm,T,90
C10,26.67mm,97.155mm,T,270
C11,41.91mm,27.305mm,T,180
C12,12.065mm,38.735mm,T,90
C3,30.48mm,85.09mm,T,270
C4,54.864mm,30.353mm,T,180
C5,34.29mm,97.155mm,T,270
C6,38.735mm,55.245mm,T,180
C7,49.53mm,38.1mm,T,90
C13,29.845mm,21.59mm,T,90
C14,33.02mm,21.59mm,T,90
C15,34.925mm,21.59mm,T,90
C16,37.465mm,21.59mm,T,90
C17,36.195mm,33.655mm,T,180
C18,24.765mm,33.655mm,T,180
C1,29.591mm,12.065mm,T,180
C2,17.526mm,11.43mm,T,180
C19,32.385mm,66.675mm,T,270
C20,34.29mm,66.675mm,T,270
C21,38.1mm,66.675mm,T,270
C22,40.64mm,66.675mm,T,270
C23,26.67mm,52.705mm,T,90
C24,34.29mm,50.8mm,T,90
R45,20.32mm,45.72mm,T,0
R46,10.16mm,20.32mm,T,0
R47,12.7mm,64.77mm,T,0
R53,40.64mm,45.72mm,T,0
R54,50.8mm,20.32mm,T,0
R55,48.26mm,64.77mm,T,0
R1,20.32mm,83.82mm,T,0
R58,40.64mm,83.82mm,T,0
J1,7.62mm,48.26mm,T,0
J2,7.62mm,99.06mm,T,0
J3,10.16mm,5.715mm,T,0
J5,7.62mm,86.36mm,T,0
J6,17.78mm,99.06mm,T,0
J7,53.34mm,48.26mm,T,0
J8,53.34mm,99.06mm,T,0
J9,50.8mm,5.715mm,T,0
J10,53.34mm,86.36mm,T,0
J11,43.18mm,99.06mm,T,0
PCB1,0mm,0mm,T,0
D1,30.734mm,9.017mm,T,180
D2,20.193mm,9.144mm,T,0
J4,31.115mm,5.08mm,B,180
IC11,30.48mm,50.8mm,T,0
R61,7.62mm,74.93mm,B,0
R63,51.435mm,74.93mm,B,0
TM2,19.05mm,71.755mm,B,0
TM3,11.43mm,33.02mm,B,0
