Comment,Designator,Footprint,LCSC Part #,combinedname,name
CGRM4001-G,"D1, D10, D11, D2, D20, D3, D4, D5, D6, D7, D8, D9",SOD-123_MINI-SMA,,CGRM400*-G_SOD-123_MINI-SMA_CGRM4001-G,CGRM400*-G
4,"SW46",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_4,CHERRY_MX
3,"SW47",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_3,CHERRY_MX
2,"SW48",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_2,CHERRY_MX
1,"SW49",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_1,CHERRY_MX
5,"SW51",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_5,CHERRY_MX
6,"SW52",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_6,CHERRY_MX
7,"SW53",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_7,CHERRY_MX
8,"SW54",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_8,CHERRY_MX
12,"SW55",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_12,CHERRY_MX
11,"SW56",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_11,CHERRY_MX
9,"SW88",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_9,CHERRY_MX
10,"SW90",MX1A-XXNW,,CHERRY_MX_MX1A-XXNW_10,CHERRY_MX
WS2812B3535,"LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24",LED3535,,WS2812B_LED3535_WS2812B3535,WS2812B
ATMEGA32U4-MU,"U1",QFN44,,ATMEGA32U4_QFN44_ATMEGA32U4-MU,ATMEGA32U4
USB-B,"JP1",USB-B-PTH,,USB_USB-B-PTH_USB-B,USB
22,"R7, R8",R0603,,R*_R0603_22,R*
10k,"R9",R0603,,R*_R0603_10k,R*
1M,"R10",R0603,,R*_R0603_1M,R*
100n,"C13, C1, C2, C3, C4, C12, C7, C8",C0603,,C*_C0603_100n,C*
1u,"C14",C0603,,C*_C0603_1u,C*
22p,"C15, C16",C0603,,C*_C0603_22p,C*
2.2u 35v,"C5",C0603,,C*_C0603_2.2u_35v,C*
10u 50v,"C6",C0603,,C*_C0603_10u_50v,C*
AVRISP-6,"ISP1",AVRISP,,AVRISP_AVRISP_AVRISP-6,AVRISP
RESONATOR,"U$60",16MHZXTAL,,RESONATOR_16MHZXTAL_RESONATOR,RESONATOR
,"JP2",2X3-SHROUDED,,M03X2_2X3-SHROUDED_,M03X2
HD44780LCD-1602,"X1",LCD1602,,HD44780LCD_LCD1602_HD44780LCD-1602,HD44780LCD
L293D,"U$9",SO20,,L293D_SO20_L293D,L293D
POWER_JACKSLT,"J1",POWER_JACK_SLOT,,POWER_JACK_POWER_JACK_SLOT_POWER_JACKSLT,POWER_JACK
M02PTH4,"JP6, JP4, JP5, JP3, JP7, JP8, JP9",1X02_XTRA_BIG,,M02_1X02_XTRA_BIG_M02PTH4,M02
100uF 50V,"C11, C9",153CLV-1010,,CPOL-EU_153CLV-1010_100uF_50V,CPOL-EU
RECOM_REGULATOR,"U$17",R-78E5.0-1.0,,RECOM_REGULATOR_R-78E5.0-1.0_RECOM_REGULATOR,RECOM_REGULATOR
1N4004 SMD SMA,"D17",DO214AC,,DIODE-_DO214AC_1N4004_SMD_SMA,DIODE-
VOLTAGETESTPAD,"U$25, U$29",POWERTESTPAD,,VOLTAGETESTPAD_POWERTESTPAD_VOLTAGETESTPAD,VOLTAGETESTPAD
68uH,"L3",SWRB120XS,,L_SWRB120XS_68uH,L
,"U$13",TC33X,,TRIMPOT_TC33X_,TRIMPOT
A4983CARRIER,"U$15, U$16",A4988BREAKOUT,,A4983CARRIER_A4988BREAKOUT_A4983CARRIER,A4983CARRIER
SOLDERJUMPERNO,"SJ1",SJ_2S-NO,,SOLDERJUMPER_SJ_2S-NO_SOLDERJUMPERNO,SOLDERJUMPER
