Designator,Mid X,Mid Y,Layer,Rotation
D1,9.525mm,20.6375mm,T,0
D10,107.95mm,39.6875mm,T,180
D11,98.425mm,11.1125mm,T,270
D2,9.525mm,39.6875mm,T,0
D20,77.7875mm,11.1125mm,T,270
D3,12.7mm,58.7375mm,T,0
D4,6.35mm,58.7375mm,T,0
D5,20.6375mm,11.1125mm,T,270
D6,39.6875mm,11.1125mm,T,270
D7,58.7375mm,11.1125mm,T,270
D8,111.125mm,58.7375mm,T,180
D9,104.775mm,58.7375mm,T,0
SW46,9.525mm,11.1125mm,T,0
SW47,9.525mm,30.1625mm,T,0
SW48,9.525mm,49.2125mm,T,0
SW49,9.525mm,68.2625mm,T,0
SW51,30.1625mm,11.1125mm,T,0
SW52,49.2125mm,11.1125mm,T,0
SW53,68.2625mm,11.1125mm,T,0
SW54,87.3125mm,11.1125mm,T,0
SW55,107.95mm,68.2625mm,T,0
SW56,107.95mm,49.2125mm,T,0
SW88,107.95mm,11.1125mm,T,0
SW90,107.95mm,30.1625mm,T,0
LED13,9.525mm,63.5mm,T,180
LED14,9.525mm,44.45mm,T,180
LED15,9.525mm,25.4mm,T,180
LED16,9.525mm,6.35mm,T,180
LED17,30.1625mm,6.35mm,T,0
LED18,49.2125mm,6.35mm,T,0
LED19,68.2625mm,6.35mm,T,0
LED20,87.3125mm,6.35mm,T,0
LED21,107.95mm,6.35mm,T,180
LED22,107.95mm,25.4mm,T,180
LED23,107.95mm,44.45mm,T,180
LED24,107.95mm,63.5mm,T,180
U1,63.246mm,66.421mm,T,270
JP1,76.2mm,76.2mm,T,270
R7,65.151mm,73.787mm,T,90
R8,63.627mm,73.787mm,T,90
R9,54.991mm,79.375mm,T,0
R10,57.277mm,66.675mm,T,90
C13,69.342mm,68.199mm,T,0
C1,60.96mm,60.325mm,T,90
C2,58.039mm,69.977mm,T,270
C3,69.215mm,64.135mm,T,180
C4,69.342mm,69.723mm,T,180
C12,54.61mm,71.12mm,T,0
C7,19.05mm,69.85mm,T,90
C8,36.195mm,67.31mm,T,270
C14,62.103mm,73.787mm,T,90
C15,54.61mm,63.6905mm,T,180
C16,54.5465mm,69.5325mm,T,0
C5,65.532mm,79.629mm,T,90
C6,85.725mm,73.025mm,T,180
ISP1,56.896mm,75.946mm,T,270
U$60,54.61mm,66.675mm,T,90
JP2,82.55mm,52.705mm,B,270
X1,19.05mm,22.225mm,T,0
U$9,27.813mm,66.421mm,T,0
J1,94.9325mm,88.5825mm,T,180
JP6,100.0125mm,79.375mm,T,0
JP4,24.13mm,77.47mm,T,0
JP5,34.29mm,77.47mm,T,180
JP3,77.47mm,22.86mm,B,180
JP7,87.63mm,22.86mm,B,180
JP8,30.48mm,22.86mm,B,180
JP9,40.64mm,22.86mm,B,180
C11,93.0275mm,64.135mm,T,270
C9,42.8625mm,65.0875mm,T,270
U$17,46.0375mm,79.375mm,T,180
D17,91.567mm,71.882mm,T,0
U$25,63.1825mm,78.4225mm,T,0
U$29,97.4725mm,73.9775mm,T,0
L3,79.6925mm,64.4525mm,T,180
U$13,51.1175mm,62.5475mm,T,0
U$15,26.67mm,30.48mm,B,180
U$16,76.2mm,30.48mm,B,180
SJ1,68.58mm,72.39mm,T,270
