Designator,Mid X mm,Mid Y mm,Layer,Rotation deg
D1,9.53,20.64,T,0
D10,107.95,39.69,T,180
D11,98.43,11.11,T,-90
D2,9.53,39.69,T,0
D20,77.79,11.11,T,-90
D3,12.70,58.74,T,0
D4,6.35,58.74,T,0
D5,20.64,11.11,T,-90
D6,39.69,11.11,T,-90
D7,58.74,11.11,T,-90
D8,111.13,58.74,T,180
D9,104.78,58.74,T,0
SW46,9.53,11.11,T,0
SW47,9.53,30.16,T,0
SW48,9.53,49.21,T,0
SW49,9.53,68.26,T,0
SW51,30.16,11.11,T,0
SW52,49.21,11.11,T,0
SW53,68.26,11.11,T,0
SW54,87.31,11.11,T,0
SW55,107.95,68.26,T,0
SW56,107.95,49.21,T,0
SW88,107.95,11.11,T,0
SW90,107.95,30.16,T,0
LED13,9.53,63.50,T,180
LED14,9.53,44.45,T,180
LED15,9.53,25.40,T,180
LED16,9.53,6.35,T,180
LED17,30.16,6.35,T,0
LED18,49.21,6.35,T,0
LED19,68.26,6.35,T,0
LED20,87.31,6.35,T,0
LED21,107.95,6.35,T,180
LED22,107.95,25.40,T,180
LED23,107.95,44.45,T,180
LED24,107.95,63.50,T,180
U1,63.25,66.42,T,-90
JP1,76.20,76.20,T,-90
R7,65.15,73.79,T,90
R8,63.63,73.79,T,90
R9,54.99,79.38,T,0
R10,57.28,66.68,T,90
C13,69.34,68.20,T,0
C1,60.96,60.33,T,90
C2,58.04,69.98,T,-90
C3,69.22,64.14,T,180
C4,69.34,69.72,T,180
C12,54.61,71.12,T,0
C7,19.05,69.85,T,90
C8,36.20,67.31,T,-90
C14,62.10,73.79,T,90
C15,54.61,63.69,T,180
C16,54.55,69.53,T,0
C5,65.53,79.63,T,90
C6,85.73,73.03,T,180
ISP1,56.90,75.95,T,-90
U$60,54.61,66.68,T,90
JP2,82.55,52.71,B,-90
X1,19.05,22.23,T,0
U$9,27.81,66.42,T,0
J1,94.93,88.58,T,180
JP6,100.01,79.38,T,0
JP4,24.13,77.47,T,0
JP5,34.29,77.47,T,180
JP3,77.47,22.86,B,180
JP7,87.63,22.86,B,180
JP8,30.48,22.86,B,180
JP9,40.64,22.86,B,180
C11,93.03,64.14,T,-90
C9,42.86,65.09,T,-90
U$17,46.04,79.38,T,180
D17,91.57,71.88,T,0
U$25,63.18,78.42,T,0
U$29,97.47,73.98,T,0
L3,79.69,64.45,T,180
U$13,51.12,62.55,T,0
U$15,26.67,30.48,B,180
U$16,76.20,30.48,B,180
SJ1,68.58,72.39,T,-90
