Comment,Designator,Footprint,LCSC Part #,combinedname,name
,"D1, D2",LED0603,,LED*_LED0603_,LED*
220,"R2, R5",R0402,,R-EU__R0402_220,R-EU_
1k,"R34, R3, R4, R8, R9",R0402,,R-EU__R0402_1k,R-EU_
330,"R6, R7, R10, R11",R0402,,R-EU__R0402_330,R-EU_
CORTEX_SWD,"SWD1, SWD2",M50-3600542,,CORTEX_SWD_M50-3600542_CORTEX_SWD,CORTEX_SWD
SWD_PADS,"U$1, U$2",SWDPADS,,SWD_PADS_SWDPADS_SWD_PADS,SWD_PADS
SWD_PADS_NOTITLE,"U$3, U$5",SWDPADS_NOTITLE,,SWD_PADS_SWDPADS_NOTITLE_SWD_PADS_NOTITLE,SWD_PADS
SI8600AB,"U$7",SO8,,SI8600_SO8_SI8600AB,SI8600
100n,"C1, C2, C3, C4",C0402,,C-EU_C0402_100n,C-EU
SI8641,"U$4",SO16,,SI8641_SO16_SI8641,SI8641
,"JP1, JP2",1X03-CLEANBIG,,PINHD-1X3_1X03-CLEANBIG_,PINHD-1X3
MOUNT-HOLE3.2,"H1, H2, H3, H4",3,2,,MOUNT-HOLE_3.2_MOUNT-HOLE3.2,MOUNT-HOLE
TINRS_ARTWORKLOGO,"U$6",TINRSLOGO,,TINRS_ARTWORK_TINRSLOGO_TINRS_ARTWORKLOGO,TINRS_ARTWORK
TINRS_ARTWORKROCKET,"U$8",TINRS_ROCKET,,TINRS_ARTWORK_TINRS_ROCKET_TINRS_ARTWORKROCKET,TINRS_ARTWORK
