Designator,Mid X,Mid Y,Layer,Rotation
D1,12.7mm,32.385mm,T,0
D2,12.7mm,18.415mm,T,0
R2,15.24mm,18.415mm,T,270
R5,15.24mm,32.385mm,T,270
R34,17.145mm,41.275mm,T,90
R3,20.32mm,32.385mm,T,180
R4,17.78mm,32.385mm,T,180
R8,20.32mm,19.05mm,T,180
R9,17.78mm,19.05mm,T,180
R6,19.685mm,20.955mm,T,90
R7,18.415mm,20.955mm,T,90
R10,5.715mm,12.065mm,T,0
R11,8.89mm,17.145mm,T,0
SWD1,12.7mm,40.64mm,T,0
SWD2,12.7mm,10.16mm,T,180
U$1,12.7mm,46.99mm,T,180
U$2,12.7mm,3.81mm,T,0
U$3,12.7mm,1.27mm,T,0
U$5,12.7mm,49.53mm,T,180
U$7,19.05mm,26.035mm,T,180
C1,15.24mm,28.575mm,T,90
C2,22.86mm,28.575mm,T,90
C3,22.86mm,23.495mm,T,270
C4,15.24mm,23.495mm,T,270
U$4,9.525mm,26.035mm,T,180
JP1,2.54mm,17.145mm,T,90
JP2,2.54mm,36.195mm,T,270
H1,3.81mm,3.81mm,T,0
H2,21.59mm,3.81mm,T,0
H3,3.81mm,46.99mm,T,0
H4,21.59mm,46.99mm,T,0
U$6,12.7mm,39.37mm,B,180
U$8,12.7mm,12.065mm,B,270
