Comment,Designator,Footprint,LCSC Part #,combinedname,name
100n,"C25, C26",C0603,,C*_C0603_100n,C*
,"C27, C28",CASE-A_3216,,C-POLAR*_CASE-A_3216_,C-POLAR*
,"D1, D2, D3, D4",LED0603,,LED*_LED0603_,LED*
POWER_SHROUDED_NOTEXT,"J1",POWER_16_SHROUDED_NOTEXT,,POWER_POWER_16_SHROUDED_NOTEXT_POWER_SHROUDED_NOTEXT,POWER
POWERSHROUDED,"J2",POWER_16_SHROUDED,,POWER_POWER_16_SHROUDED_POWERSHROUDED,POWER
FERRITE_1812,"L1, L2",FERRITE_1812,,FERRITE_FERRITE_1812_FERRITE_1812,FERRITE
75k,"R65, R66, R1, R2",R0603,,R*_R0603_75k,R*
49.9k,"R67, R68, R3, R4",R0603,,R*_R0603_49.9k,R*
68,"R89",R0603,,R*_R0603_68,R*
150,"R90",R0603,,R*_R0603_150,R*
560,"R91, R92",R0603,,R*_R0603_560,R*
CINCONBRICK_12V,"U$42",CINCONBRICK,,CINCONBRICK_12V_CINCONBRICK_CINCONBRICK_12V,CINCONBRICK_12V
CJ1117-3.3-1310190P1,"U1",SOT223,,CJ1117-3.3_SOT223_CJ1117-3.3-1310190P1,CJ1117-3.3
USB-B-FEMALE,"X1, X2",FCI61729,,USB-B-FEMALE_FCI61729_USB-B-FEMALE,USB-B-FEMALE
VOLTAGETESTPAD_BIG,"U$7, U$8, U$9, U$10, U$11, U$16",POWERTESTPAD_BIG,,VOLTAGETESTPAD_POWERTESTPAD_BIG_VOLTAGETESTPAD_BIG,VOLTAGETESTPAD
MOUNT-HOLE3.2,"H1, H2, H3, H4",3,2,,MOUNT-HOLE_3.2_MOUNT-HOLE3.2,MOUNT-HOLE
TINRS_ARTWORKTINYDATE,"U$17",JUSTATINYROCKET_DATECODE,,TINRS_ARTWORK_JUSTATINYROCKET_DATECODE_TINRS_ARTWORKTINYDATE,TINRS_ARTWORK
