Designator,Mid X mm,Mid Y mm,Layer,Rotation deg
C25,37.00,27.00,T,90
C26,50.00,27.75,T,-90
C27,54.50,26.75,T,0
C28,34.59,24.23,T,180
D1,31.00,27.00,T,90
D2,61.00,12.00,T,90
D3,61.04,19.76,T,90
D4,61.04,27.95,T,90
J1,1.00,16.00,T,-90
J2,79.00,16.00,T,90
L1,58.93,5.28,T,90
L2,-7.50,27.75,T,-90
R65,45.00,20.00,T,90
R66,47.00,20.00,T,90
R1,-5.25,7.00,T,0
R2,-5.25,23.00,T,0
R67,49.00,20.00,T,-90
R68,43.00,20.00,T,-90
R3,-4.50,25.50,T,-90
R4,-5.25,8.75,T,180
R89,34.00,27.00,T,90
R90,58.04,12.09,T,90
R91,57.00,19.00,T,180
R92,58.04,28.47,T,90
U$42,24.00,12.00,T,90
U1,44.00,27.00,T,90
X1,49.00,10.00,T,0
X2,-9.25,16.00,T,-90
U$7,25.00,27.00,T,-90
U$8,67.00,12.00,T,90
U$9,67.00,20.00,T,90
U$10,67.00,28.00,T,90
U$11,67.00,4.00,T,90
U$16,14.00,27.00,T,-90
H1,-14.00,5.00,T,0
H2,-14.00,27.00,T,0
H3,94.00,5.00,T,0
H4,94.00,27.00,T,0
U$17,36.50,17.25,T,-75
