Designator,Mid X,Mid Y,Layer,Rotation
C25,37mm,27mm,T,90
C26,50mm,27.75mm,T,270
C27,54.5mm,26.75mm,T,0
C28,34.59mm,24.23mm,T,180
D1,31mm,27mm,T,90
D2,61mm,12mm,T,90
D3,61.04mm,19.76mm,T,90
D4,61.04mm,27.95mm,T,90
J1,1mm,16mm,T,270
J2,79mm,16mm,T,90
L1,58.93mm,5.28mm,T,90
L2,-7.5mm,27.75mm,T,270
R65,45mm,20mm,T,90
R66,47mm,20mm,T,90
R1,-5.25mm,7mm,T,0
R2,-5.25mm,23mm,T,0
R67,49mm,20mm,T,270
R68,43mm,20mm,T,270
R3,-4.5mm,25.5mm,T,270
R4,-5.25mm,8.75mm,T,180
R89,34mm,27mm,T,90
R90,58.04mm,12.09mm,T,90
R91,57mm,19mm,T,180
R92,58.04mm,28.47mm,T,90
U$42,24mm,12mm,T,90
U1,44mm,27mm,T,90
X1,49mm,10mm,T,0
X2,-9.25mm,16mm,T,270
U$7,25mm,27mm,T,270
U$8,67mm,12mm,T,90
U$9,67mm,20mm,T,90
U$10,67mm,28mm,T,90
U$11,67mm,4mm,T,90
U$16,14mm,27mm,T,270
H1,-14mm,5mm,T,0
H2,-14mm,27mm,T,0
H3,94mm,5mm,T,0
H4,94mm,27mm,T,0
U$17,36.5mm,17.25mm,T,285
