Designator,Mid X,Mid Y,Layer,Rotation
R1,170mm,10mm,T,90
R2,185mm,10mm,T,90
R3,200mm,10mm,T,90
J1,5mm,10mm,T,0
J2,15mm,10mm,T,0
J3,36mm,10mm,T,0
J4,47mm,10mm,T,0
J5,63mm,10mm,T,0
J6,73mm,10mm,T,0
J7,93mm,10mm,T,0
J8,83mm,10mm,T,0
J9,109mm,10mm,T,0
J10,119mm,10mm,T,0
J11,225mm,10mm,T,0
J12,215mm,10mm,T,0
J13,155mm,10mm,T,0
J14,145mm,10mm,T,0
J15,135mm,10mm,T,0
J16,26mm,10mm,T,0
D1,15mm,18mm,T,180
D2,36mm,18mm,T,180
D3,47mm,18mm,T,180
D4,63mm,18mm,T,180
D5,73mm,18mm,T,180
D6,83mm,18mm,T,180
D7,93mm,18mm,T,180
U$1,5mm,17mm,T,90
U$2,26mm,19mm,T,0
U$3,11mm,17mm,T,270
U$4,32mm,18mm,T,0
U$5,139mm,17mm,T,180
U$6,149mm,17mm,T,180
U$7,160mm,17mm,T,180
U$9,10mm,21mm,T,0
U$10,57mm,6mm,T,0
U$11,135mm,21mm,T,0
U$12,103mm,6mm,T,0
U$13,57.613mm,16.532mm,T,90
U$14,99mm,6mm,T,0
U$15,7mm,21mm,T,0
U$16,55mm,10mm,T,0
U$17,132mm,21mm,T,0
U$18,57.603mm,19.259mm,T,180
U$19,101mm,10mm,T,0
U$20,129mm,21mm,T,0
U$21,55.03mm,17.227mm,T,180
U$22,53mm,6mm,T,0
U$23,4mm,21mm,T,0
U$8,105.156mm,17.78mm,T,0
SJ1,136mm,17mm,T,180
SJ2,146mm,17mm,T,180
SJ3,157mm,17mm,T,180
R4,19mm,18mm,T,90
R5,40mm,18mm,T,270
R6,51mm,18mm,T,270
R7,68mm,17mm,T,0
R8,78mm,17mm,T,0
R9,88mm,17mm,T,0
R10,97mm,18mm,T,0
R11,201.93mm,20.32mm,T,90
R12,212mm,19mm,T,90
R13,207mm,15mm,T,180
R16,199.39mm,18.415mm,T,0
R17,199.39mm,19.685mm,T,0
R18,199.39mm,20.955mm,T,0
R14,225mm,18mm,T,90
R15,215.079mm,18mm,T,90
R19,126.5555mm,13.2715mm,T,270
C3,192mm,19mm,T,180
C1,176mm,19mm,T,0
C2,184mm,19mm,T,0
IC1,207.01mm,19.05mm,T,270
C4,213.349mm,21.508mm,T,180
C5,201.295mm,17.145mm,T,180
C6,102mm,15mm,T,90
C7,100mm,14mm,T,270
