Comment,Designator,Footprint,LCSC Part #,combinedname,name
POWER_JACKSLT,"J1",POWER_JACK_SLOT,,POWER_JACK_POWER_JACK_SLOT_POWER_JACKSLT,POWER_JACK
MIDIJACK,"U$4",CP-2350,,MIDIJACK_CP-2350_MIDIJACK,MIDIJACK
USB-A-FEMALERECEPTACLE,"X1, X3",FCI87520,,USB-A-FEMALE_FCI87520_USB-A-FEMALERECEPTACLE,USB-A-FEMALE
USB-B-FEMALE,"X2, X4",FCI61729,,USB-B-FEMALE_FCI61729_USB-B-FEMALE,USB-B-FEMALE
100n,"C1, C2, C26, C27",C0603,,C*_C0603_100n,C*
22p,"C21",C0603,,C*_C0603_22p,C*
3.3nF,"C3, C4, C15, C5, C16, C10",C0603,,C*_C0603_3.3nF,C*
100nF,"C18, C19, C6, C7, C8",C0603,,C*_C0603_100nF,C*
FERRITE - 600R/100MHZ,"L1, L2",L0603,,L*_L0603_FERRITE_-_600R/100MHZ,L*
220,"R1, R11, R13, R19, R20",R0603,,R*_R0603_220,R*
1k,"R5",R0603,,R*_R0603_1k,R*
10k,"R9, R39, R2, R4, R14, R16, R18, R22",R0603,,R*_R0603_10k,R*
4.7k,"R7, R8",R0603,,R*_R0603_4.7k,R*
56k,"R10",R0603,,R*_R0603_56k,R*
27,"R12",R0603,,R*_R0603_27,R*
100k,"R40, R3, R6, R15, R17, R21, R23, R36, R37, R52, R53, R38, R43, R48, R55",R0603,,R*_R0603_100k,R*
30k,"R24, R26",R0603,,R*_R0603_30k,R*
12k,"R25, R27",R0603,,R*_R0603_12k,R*
100,"R28, R35",R0603,,R*_R0603_100,R*
33k,"R41, R44, R46, R47, R49, R51, R56, R58",R0603,,R*_R0603_33k,R*
51k,"R42, R45, R50, R57",R0603,,R*_R0603_51k,R*
6N139S,"U$20",8DIPSMD,,6N139S_8DIPSMD_6N139S,6N139S
,"JP1",AUDIO-JACK-.25-INCH-HORIZ-PTH,,AUDIO-JACK4-.25-HORIZ-TRS_AUDIO-JACK-.25-INCH-HORIZ-PTH_,AUDIO-JACK4-.25-HORIZ-TRS
M02PTH4,"POWERSWITCH, LEDPOWER, LEDPOWER1",1X02_XTRA_BIG,,M02_1X02_XTRA_BIG_M02PTH4,M02
GNDLOOP,"U$19, U$22",GROUNDLOOP,,GNDLOOP_GROUNDLOOP_GNDLOOP,GNDLOOP
VOLTAGETESTPAD,"U$29, U$30, U$32, U$3, U$5",POWERTESTPAD,,VOLTAGETESTPAD_POWERTESTPAD_VOLTAGETESTPAD,VOLTAGETESTPAD
NE5532D,"IC2",SO08,,NE5532_SO08_NE5532D,NE5532
100u,"C20, C22",PANASONIC_D,,CPOL-US_PANASONIC_D_100u,CPOL-US
TINRS_ARTWORKTINYDATE,"U$34, U$35",JUSTATINYROCKET_DATECODE,,TINRS_ARTWORK_JUSTATINYROCKET_DATECODE_TINRS_ARTWORKTINYDATE,TINRS_ARTWORK
BAS16W,"D1",SOT-323,,BAS16W_SOT-323_BAS16W,BAS16W
M08X2,"U$1",2X8,,M08X2_2X8_M08X2,M08X2
TEENSY_LC_ALL_PINS,"MAINTEENSY, SECONDTEENSY",TEENSY_3.0-3.2&LC_ALL_PINS,,TEENSY_LC_ALL_PINS_TEENSY_3.0-3.2&LC_ALL_PINS_TEENSY_LC_ALL_PINS,TEENSY_LC_ALL_PINS
MMBT3904,"Q5, Q1, Q2, Q3, Q4, Q6, Q7",SOT23-BEC,,*-NPN-_SOT23-BEC_MMBT3904,*-NPN-
MCP4822-E/SN,"U7",SOIC8-N_MC,,MCP4822-E/SN_SOIC8-N_MC_MCP4822-E/SN,MCP4822-E/SN
TL074D,"IC3",SO14,,TL074_SO14_TL074D,TL074
MCP6004,"IC4",SO14,,MCP6004_SO14_MCP6004,MCP6004
,"JP2, JP3, JP4, JP5",1X03,,PINHD-1X3_1X03_,PINHD-1X3
,"JP7, JP8",1X14,,PINHD-1X14_1X14_,PINHD-1X14
POWERSHROUDED,"J4, J5",POWER_16_SHROUDED,,POWER_POWER_16_SHROUDED_POWERSHROUDED,POWER
FENIXPOWERBACKPACK_MODULE,"U$23",FENIXPOWERBACKPACK,,FENIXPOWERBACKPACK_FENIXPOWERBACKPACK_FENIXPOWERBACKPACK_MODULE,FENIXPOWERBACKPACK
FENIXPOWERBACKPACKART_MODULE,"U$25",FENIXPOWERBACKPACK_MODULE,,FENIXPOWERBACKPACKART_FENIXPOWERBACKPACK_MODULE_FENIXPOWERBACKPACKART_MODULE,FENIXPOWERBACKPACKART
POWER_SHROUDED_NOTEXT,"J2",POWER_16_SHROUDED_NOTEXT,,POWER_POWER_16_SHROUDED_NOTEXT_POWER_SHROUDED_NOTEXT,POWER
HEARTOFGOLD,"U$17",HEARTOFGOLD,,HEARTOFGOLD_HEARTOFGOLD_HEARTOFGOLD,HEARTOFGOLD
