Designator,Mid X,Mid Y,Layer,Rotation
J1,138.08mm,-3mm,B,0
U$4,117mm,0mm,B,0
X1,75.175mm,17mm,B,180
X3,19.155mm,18mm,B,180
X2,75.175mm,6mm,B,0
X4,19.155mm,7mm,B,0
C1,113.0685mm,19.266mm,B,0
C2,112.707mm,27.47mm,B,270
C26,98.755mm,32.235mm,B,0
C27,91.905mm,38.685mm,B,180
C21,99.905mm,34.685mm,B,270
C3,10.15mm,37.525mm,B,180
C4,10.15mm,24.825mm,B,180
C15,75.005mm,44.895mm,B,270
C5,86.435mm,51.245mm,B,90
C16,75.005mm,51.245mm,B,90
C10,86.435mm,44.895mm,B,270
C18,6.975mm,25.46mm,B,90
C19,6.975mm,36.89mm,B,270
C6,85.598mm,48.133mm,B,0
C7,74.295mm,48.26mm,B,180
C8,26.67mm,34.29mm,B,270
L1,128.037mm,16.9495mm,B,270
L2,118.834mm,28.629mm,B,0
R1,121.866mm,28.629mm,B,180
R11,90.86mm,28.175mm,B,270
R13,88.86mm,28.175mm,B,270
R19,86.86mm,28.175mm,B,270
R20,84.86mm,28.175mm,B,270
R5,112.707mm,24.295mm,B,90
R9,114.485mm,24.295mm,B,270
R39,13.97mm,40.64mm,B,270
R2,19.05mm,40.64mm,B,270
R4,21.59mm,40.64mm,B,270
R14,11.43mm,50.8mm,B,90
R16,13.97mm,50.8mm,B,90
R18,22.03mm,50.825mm,B,90
R22,19.05mm,50.8mm,B,90
R7,99.155mm,37.935mm,B,180
R8,97.905mm,34.685mm,B,90
R10,93.2mm,28.205mm,B,270
R12,94.905mm,38.685mm,B,0
R40,37.465mm,46.45mm,B,270
R3,39.37mm,46.45mm,B,270
R6,41.275mm,46.45mm,B,270
R15,44.45mm,52.705mm,B,0
R17,45.085mm,54.61mm,B,0
R21,41.783mm,55.626mm,B,0
R23,59.69mm,38.735mm,B,0
R36,10.785mm,22.285mm,B,270
R37,3.8mm,26.095mm,B,0
R52,3.8mm,36.255mm,B,0
R53,10.15mm,39.43mm,B,0
R38,71.195mm,44.895mm,B,0
R43,89.027mm,49.911mm,B,180
R48,71.195mm,51.245mm,B,0
R55,89.027mm,46.101mm,B,180
R24,10.15mm,36.255mm,B,0
R26,10.15mm,26.095mm,B,0
R25,15.24mm,30.48mm,B,180
R27,15.24mm,33.02mm,B,180
R28,3.8mm,24.825mm,B,0
R35,3.115mm,39.47mm,B,270
R41,73.735mm,44.895mm,B,90
R44,85.165mm,51.245mm,B,270
R46,71.195mm,43.625mm,B,0
R47,89.027mm,52.451mm,B,180
R49,73.735mm,51.245mm,B,270
R51,71.195mm,52.515mm,B,0
R56,85.165mm,44.895mm,B,90
R58,89.027mm,43.561mm,B,180
R42,71.195mm,46.165mm,B,0
R45,89.027mm,51.181mm,B,180
R50,71.195mm,49.975mm,B,0
R57,89.027mm,44.831mm,B,180
U$20,121.615mm,22.435mm,B,270
JP1,99mm,0mm,B,90
POWERSWITCH,232.97mm,15.6mm,B,90
LEDPOWER,104mm,52.73mm,T,90
LEDPOWER1,98mm,52.73mm,T,90
U$19,70.116778125mm,31.537221875mm,B,0
U$22,5.715mm,16.51mm,T,0
U$29,237.545mm,17.925mm,T,0
U$30,109.355mm,23.605mm,T,0
U$32,103.155mm,38.3mm,T,0
U$3,98.152mm,44.532mm,B,180
U$5,103.885mm,44.405mm,B,180
IC2,92.905mm,34.685mm,B,90
C20,84.455mm,34.925mm,B,270
C22,77.47mm,34.925mm,B,270
U$34,29.845mm,2.54mm,B,270
U$35,29.845mm,2.54mm,T,90
D1,129.328mm,24.39mm,B,0
U$1,21.59mm,46.99mm,T,180
MAINTEENSY,46.99mm,42.45mm,B,270
SECONDTEENSY,46.99mm,16.05mm,B,270
Q5,15.24mm,36.195mm,B,0
Q1,19.685mm,36.195mm,B,0
Q2,24.13mm,36.195mm,B,0
Q3,10.795mm,55.245mm,B,180
Q4,15.24mm,55.245mm,B,180
Q6,24.13mm,55.245mm,B,180
Q7,19.685mm,55.245mm,B,180
U7,20.955mm,31.115mm,B,0
IC3,6.975mm,31.175mm,B,0
IC4,80.01mm,48.133mm,B,270
JP2,68.115mm,52.515mm,T,90
JP3,68.115mm,43.625mm,T,90
JP4,92.71mm,43.561mm,T,90
JP5,92.71mm,52.451mm,T,90
JP7,46.99mm,27.115mm,T,0
JP8,46.99mm,5.985mm,T,180
J4,121.92mm,49.53mm,B,180
J5,121.92mm,34.925mm,B,180
U$23,228mm,-4mm,B,0
U$25,228mm,-4mm,B,0
J2,234mm,36mm,B,90
U$17,183.134mm,31.369mm,B,0
