Designator,Mid X,Mid Y,Layer,Rotation
C1,155.8925mm,29.21mm,T,180
C2,139.3825mm,32.0675mm,T,180
C5,109.22mm,36.83mm,T,270
C6,113.3475mm,29.5275mm,T,0
ACID1:C24,29.845mm,88.265mm,T,180
ACID1:C25,38.1mm,94.615mm,T,90
C9,50.165mm,64.77mm,T,0
C10,61.595mm,64.77mm,T,0
C11,154.305mm,69.5325mm,T,180
C12,142.875mm,69.5325mm,T,180
C26,29.845mm,48.26mm,T,90
C27,29.845mm,59.69mm,T,90
C13,52.705mm,50.165mm,T,270
C14,52.705mm,38.735mm,T,270
C15,61.595mm,44.45mm,T,0
C16,73.025mm,44.45mm,T,0
C19,135.255mm,84.7725mm,T,270
C20,133.985mm,73.3425mm,T,270
C21,126.365mm,46.6725mm,T,0
C25,137.795mm,46.6725mm,T,0
C30,155.2575mm,47.3075mm,T,90
C31,155.2575mm,58.7375mm,T,90
C38,133.985mm,50.4825mm,T,180
CLIP1:C4,60.0075mm,86.36mm,T,180
CLIP1:C25,71.755mm,90.17mm,T,0
C42,90.4875mm,88.265mm,T,0
C43,101.9175mm,88.265mm,T,0
C45,144.78mm,91.7575mm,T,0
C46,156.21mm,91.7575mm,T,0
ACID1:C22,27.6225mm,88.5825mm,T,270
ACID1:C28,22.5425mm,91.1225mm,T,270
CLIP1:C30,60.0075mm,88.265mm,T,0
ACID1:C23,26.67mm,90.805mm,T,180
FUZZ1:C42,79.375mm,81.28mm,T,180
CREAM1:C55,108.9025mm,76.835mm,T,180
ACID1:C26,26.67mm,93.98mm,T,0
ACID1:C27,38.735mm,89.535mm,T,270
CREAM1:C45,119.38mm,44.45mm,T,90
CREAM1:C44,98.7425mm,58.42mm,T,90
CREAM1:C47,96.8375mm,62.23mm,T,90
CREAM1:C50,105.0925mm,69.215mm,T,180
CREAM1:C46,108.9025mm,60.96mm,T,180
CREAM1:C49,98.7425mm,63.5mm,T,90
CREAM1:C53,111.76mm,79.0575mm,T,180
CREAM1:C54,103.8225mm,80.01mm,T,270
CREAM1:C52,105.0925mm,74.93mm,T,0
CLIP1:C29,60.0075mm,92.075mm,T,180
CLIP1:C36,71.755mm,84.455mm,T,180
CLIP1:C31,71.755mm,88.265mm,T,180
CLIP1:C35,71.755mm,82.55mm,T,180
C23,29.845mm,44.45mm,T,90
C22,59.69mm,46.99mm,T,90
C18,32.385mm,49.2125mm,T,0
C44,74.295mm,46.99mm,T,90
C24,27.94mm,48.26mm,T,270
C32,137.795mm,42.8625mm,T,0
C34,150.1775mm,50.4825mm,T,90
C35,160.02mm,51.1175mm,T,270
C36,160.02mm,54.9275mm,T,270
C37,137.795mm,48.5775mm,T,180
C33,122.555mm,42.8625mm,T,180
C39,126.365mm,44.7675mm,T,0
C40,150.1775mm,54.9275mm,T,270
C41,126.365mm,50.4825mm,T,180
C3,156.5275mm,31.115mm,T,0
C4,140.0175mm,30.1625mm,T,0
C7,107.315mm,37.465mm,T,90
C8,106.3625mm,31.4325mm,T,180
ACID1:C7,31.75mm,95.885mm,T,180
CLIP1:C7,67.31mm,93.98mm,T,0
D1,148.59mm,30.48mm,T,0
D2,135.89mm,33.02mm,T,270
ACID1:IC5,33.02mm,92.075mm,T,270
CLIP1:IC6,66.04mm,90.17mm,T,270
ACID1:JP4,45.72mm,92.71mm,T,270
ACID1:JP5,49.53mm,92.71mm,T,270
CLIP1:JP1,41.91mm,81.28mm,T,270
CLIP1:JP2,45.72mm,81.28mm,T,270
CLIP1:JP3,49.53mm,81.28mm,T,270
ACID1:JP6,41.91mm,92.71mm,T,270
ACID1:JP1,3.175mm,101.6mm,T,270
ACID1:R22,38.1mm,40.64mm,T,0
R50,144.78mm,40.64mm,T,0
R114,162.56mm,43.18mm,T,0
ACID1:R23,40.64mm,60.96mm,T,0
ACID1:R24,33.02mm,81.28mm,T,0
FUZZ1:R42,91.44mm,68.58mm,T,0
FUZZ1:R43,91.44mm,43.18mm,T,0
CREAM1:R69,119.38mm,78.74mm,T,0
CREAM1:R70,119.38mm,33.02mm,T,0
CREAM1:R71,116.84mm,55.88mm,T,0
R69,20.32mm,43.18mm,T,0
R109,162.56mm,68.58mm,T,0
R49,142.24mm,60.96mm,T,0
CLIP1:R29,63.5mm,78.74mm,T,0
CLIP1:R30,63.5mm,33.02mm,T,0
CLIP1:R31,66.04mm,55.88mm,T,0
ACID1:R25,26.67mm,92.075mm,T,180
CREAM1:R51,97.155mm,58.42mm,T,90
CREAM1:R53,105.0925mm,60.96mm,T,180
CREAM1:R57,96.8375mm,65.405mm,T,270
CREAM1:R58,105.0925mm,66.675mm,T,0
CREAM1:R62,110.49mm,68.58mm,T,180
CLIP1:R40,67.945mm,95.885mm,T,0
R29,26.035mm,48.26mm,T,90
R42,46.99mm,33.655mm,T,90
R105,46.99mm,55.245mm,T,270
R60,137.795mm,44.7675mm,T,0
R72,137.795mm,50.4825mm,T,0
R74,134.62mm,53.6575mm,T,180
ACID1:R26,26.67mm,95.25mm,T,0
R35,48.895mm,38.735mm,T,90
R98,48.895mm,50.165mm,T,270
ACID1:R27,33.02mm,88.265mm,T,0
CLIP1:R32,62.865mm,94.615mm,T,90
CLIP1:R34,60.0075mm,93.98mm,T,0
CLIP1:R39,68.58mm,83.185mm,T,0
ACID1:R72,38.735mm,92.075mm,T,0
R27,26.035mm,59.4995mm,T,90
ACID1:R28,36.195mm,88.265mm,T,0
FUZZ1:R41,79.375mm,88.9mm,T,180
CREAM1:R54,108.9025mm,62.865mm,T,180
CREAM1:R59,108.9025mm,66.675mm,T,180
CREAM1:R65,111.76mm,80.9625mm,T,180
R32,35.56mm,55.88mm,T,270
R33,33.655mm,55.88mm,T,270
R38,50.8mm,38.735mm,T,270
R39,52.705mm,34.925mm,T,270
R40,61.595mm,46.99mm,T,90
R43,45.085mm,33.655mm,T,90
R44,61.595mm,41.91mm,T,90
R101,50.8mm,50.165mm,T,90
R102,52.705mm,53.975mm,T,90
R103,72.39mm,46.99mm,T,90
R106,45.085mm,55.245mm,T,270
R107,75.2475mm,42.545mm,T,180
R64,126.365mm,40.9575mm,T,0
R65,151.4475mm,50.4825mm,T,90
R66,158.75mm,51.1175mm,T,270
R67,161.29mm,54.9275mm,T,270
R68,151.4475mm,54.9275mm,T,270
R71,141.605mm,50.4825mm,T,180
R76,126.365mm,48.5775mm,T,0
R78,122.555mm,48.26mm,T,0
R80,152.4mm,47.625mm,T,180
R83,158.4325mm,58.7375mm,T,270
R84,158.75mm,54.9275mm,T,270
R92,144.78mm,101.2825mm,T,0
R97,144.78mm,99.3775mm,T,0
R116,144.78mm,97.4725mm,T,0
R117,144.78mm,95.5675mm,T,0
R118,144.78mm,93.6625mm,T,0
FUZZ1:R44,79.375mm,83.185mm,T,180
FUZZ1:R45,79.375mm,86.995mm,T,180
R58,144.78mm,38.1mm,T,270
R62,126.365mm,42.8625mm,T,180
R63,130.175mm,42.8625mm,T,180
R77,122.555mm,50.4825mm,T,0
R79,152.4mm,46.355mm,T,180
R81,161.29mm,51.1175mm,T,270
R82,157.1625mm,58.7375mm,T,270
FUZZ1:R46,79.375mm,85.09mm,T,180
R30,27.94mm,44.45mm,T,90
CREAM1:R47,107.6325mm,44.1325mm,T,90
CREAM1:R63,105.0925mm,76.835mm,T,0
CREAM1:R48,108.9025mm,57.15mm,T,180
R61,133.985mm,42.8625mm,T,180
CREAM1:R49,100.6475mm,58.42mm,T,270
CREAM1:R56,100.6475mm,62.23mm,T,270
CREAM1:R61,108.9025mm,70.485mm,T,180
R52,122.555mm,44.7675mm,T,180
R56,124.7775mm,69.215mm,T,90
CREAM1:R50,108.9025mm,59.055mm,T,0
CREAM1:R52,114.3mm,44.1325mm,T,270
CLIP1:R33,60.0075mm,90.17mm,T,180
CLIP1:R37,71.755mm,86.36mm,T,0
R31,26.035mm,52.07mm,T,90
R41,57.785mm,46.99mm,T,270
R47,26.035mm,55.245mm,T,90
R104,76.2mm,46.99mm,T,270
CREAM1:R55,108.9025mm,64.77mm,T,180
CREAM1:R60,108.9025mm,72.39mm,T,180
CREAM1:R64,108.9025mm,74.93mm,T,0
R57,129.8575mm,69.215mm,T,270
CREAM1:R66,107.95mm,79.0575mm,T,180
CREAM1:R67,105.41mm,80.01mm,T,270
CREAM1:R68,111.76mm,82.8675mm,T,180
CLIP1:R35,71.755mm,92.075mm,T,0
CLIP1:R36,71.755mm,93.98mm,T,0
CLIP1:R38,69.215mm,85.725mm,T,270
R1,50.165mm,66.675mm,T,180
R2,50.165mm,68.58mm,T,180
R3,53.975mm,70.485mm,T,0
R4,53.975mm,68.58mm,T,180
R5,50.165mm,62.865mm,T,180
R6,50.165mm,60.96mm,T,180
R7,53.975mm,59.055mm,T,0
R8,53.975mm,60.96mm,T,180
R9,61.595mm,62.865mm,T,0
R10,61.595mm,60.96mm,T,0
R11,57.785mm,59.055mm,T,180
R12,57.785mm,60.96mm,T,0
R13,61.595mm,66.675mm,T,0
R14,61.595mm,68.58mm,T,0
R15,57.785mm,70.485mm,T,180
R16,57.785mm,68.58mm,T,0
R17,154.305mm,71.4375mm,T,0
R18,154.305mm,73.3425mm,T,0
R19,155.575mm,75.2475mm,T,0
R20,150.495mm,73.3425mm,T,0
R21,154.305mm,67.6275mm,T,0
R22,154.305mm,65.7225mm,T,0
R23,150.495mm,63.8175mm,T,180
R24,150.495mm,65.7225mm,T,0
R25,105.7275mm,29.5275mm,T,180
R26,109.5375mm,29.5275mm,T,180
R34,31.75mm,44.45mm,T,90
R48,32.385mm,47.3075mm,T,0
R28,33.655mm,52.07mm,T,270
R36,48.895mm,34.925mm,T,90
R37,50.8mm,34.925mm,T,270
R99,48.895mm,53.975mm,T,270
R100,50.8mm,53.975mm,T,90
R45,59.3725mm,42.545mm,T,0
R46,27.94mm,59.69mm,T,270
R108,72.7075mm,41.91mm,T,90
R51,133.0325mm,57.785mm,T,0
R53,127.635mm,73.3425mm,T,90
R54,130.175mm,73.3425mm,T,90
R55,131.445mm,73.3425mm,T,90
R70,141.605mm,48.5775mm,T,180
R59,131.1275mm,69.215mm,T,90
R73,141.605mm,46.6725mm,T,180
R75,130.175mm,50.4825mm,T,0
R85,128.905mm,73.3425mm,T,270
R86,132.715mm,73.3425mm,T,270
R87,131.445mm,84.7725mm,T,270
R88,130.175mm,84.7725mm,T,270
R89,132.715mm,84.7725mm,T,90
R90,128.905mm,84.7725mm,T,90
R91,133.985mm,84.7725mm,T,270
R110,147.6375mm,65.7225mm,T,0
R111,142.875mm,71.4375mm,T,0
R112,142.875mm,73.3425mm,T,180
R113,142.875mm,74.6125mm,T,180
R115,166.0525mm,33.3375mm,T,180
R93,90.4875mm,89.8525mm,T,180
R94,90.4875mm,86.36mm,T,180
R95,101.9175mm,86.36mm,T,0
R96,101.9175mm,89.8525mm,T,0
R119,14.0081mm,63.6524mm,T,180
R120,14.9225mm,26.3525mm,T,180
R121,167.9575mm,51.435mm,T,180
FUZZ1:C1,76.835mm,77.47mm,T,270
FUZZ1:C28,83.185mm,92.71mm,T,270
CLIP1:C2,54.61mm,90.17mm,T,270
CREAM1:C1,85.725mm,56.1975mm,T,270
CREAM1:C2,99.06mm,76.5175mm,T,180
CREAM1:C28,107.6325mm,50.8mm,T,90
CLIP1:C28,76.835mm,92.71mm,T,270
CLIP1:C1,73.66mm,102.87mm,T,270
CLIP1:C3,54.61mm,81.915mm,T,270
C28,27.94mm,68.58mm,T,270
C29,27.94mm,38.735mm,T,90
C17,34.29mm,68.58mm,T,270
FUZZ1:Q1,75.565mm,86.36mm,T,90
FUZZ1:Q2,75.565mm,82.55mm,T,270
Q1,46.355mm,37.465mm,T,0
Q3,46.355mm,51.435mm,T,180
Q4,126.365mm,85.725mm,T,180
IC1,100.6475mm,34.6075mm,T,0
J10,175.26mm,68.58mm,T,0
J11,81.28mm,101.6mm,T,0
J12,91.44mm,99.06mm,T,0
J13,101.6mm,101.6mm,T,0
J14,116.84mm,101.6mm,T,0
J15,127mm,99.06mm,T,0
