Designator,Mid X,Mid Y,Layer,Rotation
C1,35.56mm,33.02mm,T,180
C11,22.5425mm,93.50375mm,T,180
C4,5.87375mm,76.5175mm,T,180
C5,24.92375mm,33.02mm,T,180
C7,23.65375mm,81.915mm,T,90
C29,35.56mm,99.21875mm,T,0
C10,11.43mm,76.5175mm,T,0
C12,36.98875mm,93.6625mm,T,270
C2,38.57625mm,34.13125mm,T,270
C22,37.7825mm,69.215mm,T,90
C23,37.7825mm,59.055mm,T,90
C24,23.01875mm,69.215mm,T,90
C25,23.01875mm,59.055mm,T,90
C3,21.9075mm,81.43875mm,T,270
C6,34.13125mm,75.08875mm,T,0
C8,21.9075mm,84.455mm,T,90
C9,30.63875mm,80.9625mm,T,0
C28,35.08375mm,97.63125mm,T,180
C30,15.24mm,95.40875mm,T,270
C31,25.87625mm,49.37125mm,T,270
C32,27.14625mm,95.885mm,T,0
C33,42.70375mm,76.5175mm,T,90
C34,25.4mm,81.43875mm,T,90
C35,44.7675mm,67.945mm,T,180
C36,41.75125mm,58.26125mm,T,0
C37,19.05mm,58.26125mm,T,180
C38,16.03375mm,67.945mm,T,0
C39,21.9075mm,34.13125mm,T,270
C13,38.57625mm,82.8675mm,T,90
C14,51.27625mm,82.8675mm,T,90
C15,51.27625mm,93.6625mm,T,270
C16,38.57625mm,93.6625mm,T,270
C18,41.75125mm,65.56375mm,T,180
C19,33.81375mm,65.56375mm,T,0
C20,26.9875mm,65.56375mm,T,180
C21,19.05mm,65.56375mm,T,0
C17,44.92625mm,82.8675mm,T,90
C26,30.32125mm,75.8825mm,T,180
C27,27.14625mm,75.8825mm,T,0
D1,33.9725mm,30.1625mm,T,0
D2,26.51125mm,30.1625mm,T,0
D7,55.88mm,69.05625mm,T,270
IC1,15.24mm,79.21625mm,T,90
IC2,30.375mm,88.3mm,T,0
IC3,44.92625mm,88.265mm,T,0
IC4,37.7825mm,64.135mm,T,180
IC5,23.01875mm,64.135mm,T,180
IC6,38.57625mm,74.45375mm,T,270
IC7,22.38375mm,74.45375mm,T,270
J1,30.375mm,14.5mm,T,270
J10,5.5mm,43mm,B,90
J11,5.5mm,30.5mm,B,90
J12,5.5mm,18mm,B,90
J13,5.5mm,5.5mm,B,90
J14,18mm,43mm,B,270
J15,18mm,30.5mm,B,270
J16,18mm,18mm,B,270
J17,18mm,5.5mm,B,270
J2,55mm,43mm,B,270
J3,55mm,30.5mm,B,270
J4,55mm,18mm,B,270
J5,55mm,5.5mm,B,270
J6,42.5mm,43mm,B,90
J7,42.5mm,30.5mm,B,90
J8,42.5mm,18mm,B,90
J9,42.5mm,5.5mm,B,90
R1,34.13125mm,76.67625mm,T,0
R23,52.3875mm,50.8mm,T,270
R25,49.2125mm,50.8mm,T,270
R27,46.0375mm,50.8mm,T,270
R29,42.8625mm,50.8mm,T,270
R56,7.9375mm,93.82125mm,T,0
R59,7.9375mm,90.64625mm,T,0
R62,7.9375mm,87.47125mm,T,0
R65,7.9375mm,84.29625mm,T,0
R73,16.66875mm,54.2925mm,T,270
R11,49.68875mm,82.8675mm,T,90
R16,49.68875mm,93.6625mm,T,270
R21,40.16375mm,93.6625mm,T,270
R6,40.16375mm,82.8675mm,T,90
R12,48.10125mm,93.6625mm,T,270
R17,41.75125mm,93.6625mm,T,270
R2,41.75125mm,82.8675mm,T,90
R22,50.8mm,50.8mm,T,90
R24,47.625mm,50.8mm,T,90
R26,44.45mm,50.8mm,T,90
R28,41.275mm,50.8mm,T,90
R3,43.33875mm,82.8675mm,T,90
R33,41.75125mm,61.43625mm,T,0
R34,41.75125mm,59.84875mm,T,180
R39,33.81375mm,61.43625mm,T,180
R40,33.81375mm,59.84875mm,T,0
R45,26.9875mm,61.43625mm,T,0
R46,26.9875mm,59.84875mm,T,180
R51,19.05mm,61.43625mm,T,180
R52,19.05mm,59.84875mm,T,0
R55,7.9375mm,92.23375mm,T,0
R58,7.9375mm,89.05875mm,T,0
R61,7.9375mm,85.88375mm,T,0
R64,7.9375mm,82.70875mm,T,0
R7,48.10125mm,82.8675mm,T,90
R13,46.51375mm,93.6625mm,T,270
R18,43.33875mm,93.6625mm,T,270
R8,46.51375mm,82.8675mm,T,90
R30,39.37mm,69.215mm,T,270
R36,36.195mm,69.215mm,T,270
R42,24.60625mm,69.215mm,T,270
R48,21.43125mm,69.215mm,T,270
R31,41.75125mm,67.15125mm,T,180
R37,33.81375mm,67.15125mm,T,0
R43,26.9875mm,67.15125mm,T,180
R49,19.05mm,67.15125mm,T,0
R32,41.75125mm,68.73875mm,T,0
R38,33.81375mm,68.73875mm,T,180
R44,26.9875mm,68.73875mm,T,0
R50,19.05mm,68.73875mm,T,180
R35,39.37mm,59.055mm,T,270
R41,36.195mm,59.055mm,T,270
R47,24.60625mm,59.055mm,T,270
R53,21.43125mm,59.055mm,T,270
R70,28.2575mm,102.71125mm,T,0
R71,24.765mm,101.9175mm,T,270
R72,57.8325mm,88.9mm,T,270
R63,24.28875mm,45.72mm,T,270
R54,24.28875mm,8.09625mm,T,270
R57,24.28875mm,20.79625mm,T,270
R60,26.035mm,36.98875mm,T,90
R74,36.35375mm,8.09625mm,T,270
R75,36.35375mm,20.6375mm,T,270
R76,32.22625mm,37.1475mm,T,90
R77,36.35375mm,45.72mm,T,270
R66,53.49875mm,100.0125mm,T,180
R67,54.61mm,76.5175mm,T,0
R68,7.9375mm,95.40875mm,T,0
R69,7.9375mm,81.12125mm,T,0
R4,29.36875mm,98.58375mm,T,270
R9,27.78125mm,98.58375mm,T,270
R14,10.31875mm,66.83375mm,T,90
R19,50.64125mm,86.83625mm,T,90
R10,37.75mm,63.5mm,B,0
R15,23mm,63.5mm,B,0
R20,7.75mm,63.5mm,B,270
R5,53mm,63.5mm,B,90
T1,51.59375mm,54.2925mm,T,0
T2,48.41875mm,54.2925mm,T,0
T3,45.24375mm,54.2925mm,T,0
T4,42.06875mm,54.2925mm,T,0
T5,4.445mm,93.18625mm,T,90
T6,4.445mm,90.01125mm,T,90
T7,4.445mm,86.83625mm,T,90
T8,4.445mm,83.66125mm,T,90
U1,33.655mm,72.54875mm,T,180
PCB1,0mm,0mm,T,0
U$7,36.03625mm,1.42875mm,T,180
U$8,24.765mm,1.42875mm,T,180
U$37,5.08mm,62.865mm,T,180
U$38,55.72125mm,62.865mm,T,180
U$44,30.375mm,101mm,B,0
S1,54mm,100mm,B,0
S2,54mm,76.5mm,B,0
S3,6.5mm,100mm,B,180
S4,6.5mm,76.5mm,B,180
X1,28.73375mm,78.4225mm,T,180
X2,54.5mm,88.25mm,B,270
SJ1,41.11625mm,98.26625mm,T,90
